language,syntax_knn,phonology_knn
bam,0.48591265790377514,0.8581163303210333
bbj,0.8346223261119854,0.9486832980505138
ewe,0.6176470588235294,0.8451542547285165
fon,0.6288281455225323,0.8581163303210333
hau,0.6507913734559684,0.9128709291752769
ibo,0.7352941176470589,0.8215838362577492
kin,0.9022141990953614,0.8944271909999159
lug,0.9432422182837981,0.9486832980505138
luo,0.7894374242084412,0.9486832980505138
mos,0.5492350363810895,0.8164965809277259
pcm,0.5564148840746572,0.8999999999999999
nya,0.9180845587231838,0.9999999999999999
sna,0.9432422182837981,0.9486832980505138
swa,0.9304083928170914,0.762770071396474
tsn,0.9304083928170914,0.9486832980505138
twi,0.7352941176470589,0.8999999999999999
wol,0.695725242782938,0.7999999999999999
xho,0.890263814519451,0.8944271909999159
yor,0.6575355056394067,0.7999999999999999
zul,0.8677218312746243,0.760638829255665
