language,sim,f1
bam,0.8581163303210333,0.277
bbj,0.9486832980505138,0.025
ewe,0.8451542547285165,0.441
fon,0.8581163303210333,0.204
hau,0.9128709291752769,0.336
ibo,0.8215838362577492,0.269
kin,0.8944271909999159,0.557
lug,0.9486832980505138,0.495
luo,0.9486832980505138,0.414
mos,0.8164965809277259,0.263
pcm,0.8999999999999999,0.143
nya,0.9999999999999999,0.447
sna,0.9486832980505138,0.352
swa,0.762770071396474,0.341
tsn,0.9486832980505138,0.241
twi,0.8999999999999999,0.377
wol,0.7999999999999999,0.45
xho,0.8944271909999159,0.309
yor,0.7999999999999999,0.247
zul,0.760638829255665,0.371
