,nyn,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,pcm,nya,sna,swa,tsn,twi,wol,xho,yor,zul
nyn,0.0,0.3281419875788566,0.22012736388296839,0.3266195016585651,0.29078181733544783,0.2947774445255935,0.24614140621701375,0.12684383190067505,0.11109212445279659,0.21741441912877002,0.3266195016585651,0.29495175820670716,0.1002332912912749,0.12911036665797648,0.12455131044556467,0.09513542211764048,0.2225355685497632,0.3069364541027384,0.17029902882930337,0.2847525271848761,0.18677971550060235
bam,0.3281419875788566,0.0,0.31600661947422026,0.22682330751490098,0.17906731013838795,0.310162523810246,0.2411787761912706,0.32553579725509996,0.3077974393093179,0.30625406490567997,0.18134232560401276,0.2631452949453683,0.32165981508007524,0.3656870321548906,0.310162523810246,0.294691632654108,0.16843324502848445,0.2756706500007583,0.28367453490351113,0.23600636487611726,0.33281137227794666
bbj,0.22012736388296839,0.31600661947422026,0.0,0.2666369235507753,0.27524846756979593,0.321109485124474,0.24799819890710972,0.19714825875241215,0.20275028295065123,0.2542411767747177,0.3389403254542198,0.2881197164939141,0.18533138214936873,0.22158658801436293,0.19577585160899225,0.19121930438948231,0.23363278364999407,0.2375537294474861,0.18400446423255257,0.3059662487339394,0.2603607144770508
ewe,0.3266195016585651,0.22682330751490098,0.2666369235507753,0.0,0.2177672265315701,0.3332921772591716,0.2555095979394082,0.3031948256114252,0.24738219099361847,0.30716525778510506,0.21978021978021967,0.29915534148480416,0.2555095979394082,0.3116687684506826,0.26662139498508863,0.2736409960650297,0.18466734921628591,0.27773319203076974,0.29670329670329687,0.297936062104189,0.32239425466864036
fon,0.29078181733544783,0.17906731013838795,0.27524846756979593,0.2177672265315701,0.0,0.2768246164710899,0.23162615500053296,0.2914170026321341,0.2711057038752064,0.2840909090909095,0.150718703091419,0.2528242039584834,0.2768246164710899,0.3219081091472987,0.28812423183872915,0.2613636363636366,0.15904161881953705,0.2542253857358119,0.2289419804382623,0.1752870104384705,0.2998270964528402
hau,0.2947774445255935,0.310162523810246,0.321109485124474,0.3332921772591716,0.2768246164710899,0.0,0.28089887640449385,0.2840446811445263,0.29937177718119024,0.25422538573581144,0.29995678612213017,0.2113126741631257,0.28089887640449385,0.3148530267701103,0.30337078651685345,0.27682461647109036,0.3286680093293054,0.2808988764044943,0.2999567861221306,0.25337212513823226,0.29272052207594357
ibo,0.24614140621701375,0.2411787761912706,0.24799819890710972,0.2555095979394082,0.23162615500053296,0.28089887640449385,0.0,0.24995157072283714,0.19065360467482328,0.25422538573581144,0.2555095979394082,0.2341731763612961,0.22471910112359483,0.24960093408154937,0.21348314606741503,0.19772730889761592,0.2580014839955481,0.2359550561797752,0.188838815665326,0.19217311900202172,0.24851555470568998
kin,0.12684383190067505,0.32553579725509996,0.19714825875241215,0.3031948256114252,0.2914170026321341,0.2840446811445263,0.24995157072283714,0.0,0.0958786375020807,0.2571307285659471,0.33691120501732397,0.30634679309363533,0.11357912903608058,0.1310282411232524,0.1249434991766436,0.10855687427913674,0.2256965026171478,0.2726803110039633,0.1683293079878302,0.2943577149272033,0.1952166987821874
lug,0.11109212445279659,0.3077974393093179,0.20275028295065123,0.24738219099361847,0.2711057038752064,0.29937177718119024,0.19065360467482328,0.0958786375020807,0.0,0.2103645125314736,0.3190600775656547,0.29954495525620173,0.09401522911360793,0.13478397515337148,0.10609502605875987,0.0888821298440079,0.20227596478253496,0.2510525894005827,0.13986536113556358,0.2630941016450591,0.1801964124999682
luo,0.21741441912877002,0.30625406490567997,0.2542411767747177,0.30716525778510506,0.2840909090909095,0.25422538573581144,0.25422538573581144,0.2571307285659471,0.2103645125314736,0.0,0.30716525778510506,0.22983417946489837,0.22032653963289373,0.2672232792398228,0.2429257703681722,0.22727272727272774,0.2774864612393203,0.23162615500053296,0.2624662421583376,0.2368327559281369,0.2998270964528402
mos,0.3266195016585651,0.18134232560401276,0.3389403254542198,0.21978021978021967,0.150718703091419,0.29995678612213017,0.2555095979394082,0.33691120501732397,0.3190600775656547,0.30716525778510506,0.0,0.253939557064469,0.32218038021349105,0.376199821408431,0.3332921772591716,0.31834001169179693,0.23125778640392636,0.3332921772591716,0.3076923076923077,0.2253087581839326,0.3333233795933397
pcm,0.29495175820670716,0.2631452949453683,0.2881197164939141,0.29915534148480416,0.2528242039584834,0.2113126741631257,0.2341731763612961,0.30634679309363533,0.29954495525620173,0.22983417946489837,0.253939557064469,0.0,0.3027546829558069,0.34725886338298806,0.314184934054892,0.2873092406988611,0.2930962645552373,0.24560342746038122,0.2652435031695528,0.24046117623507757,0.3479440619007327
nya,0.1002332912912749,0.32165981508007524,0.18533138214936873,0.2555095979394082,0.2768246164710899,0.28089887640449385,0.22471910112359483,0.11357912903608058,0.09401522911360793,0.22032653963289373,0.32218038021349105,0.3027546829558069,0.0,0.07559535357872016,0.0561797752808979,0.07343153985358364,0.21089046710637682,0.26966292134831404,0.13327983043692293,0.2778517275927165,0.14905437812261968
sna,0.12911036665797648,0.3656870321548906,0.22158658801436293,0.3116687684506826,0.3219081091472987,0.3148530267701103,0.24960093408154937,0.1310282411232524,0.13478397515337148,0.2672232792398228,0.376199821408431,0.34725886338298806,0.07559535357872016,0.0,0.11909674870442744,0.0812948575544048,0.2704153940727789,0.3366037243329639,0.13958596056335337,0.3128753017994531,0.16566802781091106
swa,0.12455131044556467,0.310162523810246,0.19577585160899225,0.26662139498508863,0.28812423183872915,0.30337078651685345,0.21348314606741503,0.1249434991766436,0.10609502605875987,0.2429257703681722,0.3332921772591716,0.314184934054892,0.0561797752808979,0.11909674870442744,0.0,0.09603077058886211,0.2226682213286697,0.25842696629213424,0.14439162748260337,0.2900915288199586,0.17115686180774636
tsn,0.09513542211764048,0.294691632654108,0.19121930438948231,0.2736409960650297,0.2613636363636366,0.27682461647109036,0.19772730889761592,0.10855687427913674,0.0888821298440079,0.22727272727272774,0.31834001169179693,0.2873092406988611,0.07343153985358364,0.0812948575544048,0.09603077058886211,0.0,0.1945750715454717,0.2655250011034507,0.09484493355795953,0.24914190502607014,0.09977769543936621
twi,0.2225355685497632,0.16843324502848445,0.23363278364999407,0.18466734921628591,0.15904161881953705,0.3286680093293054,0.2580014839955481,0.2256965026171478,0.20227596478253496,0.2774864612393203,0.23125778640392636,0.2930962645552373,0.21089046710637682,0.2704153940727789,0.2226682213286697,0.1945750715454717,0.0,0.24622372977325546,0.2079625678101059,0.24302964706249053,0.258615416685956
wol,0.3069364541027384,0.2756706500007583,0.2375537294474861,0.27773319203076974,0.2542253857358119,0.2808988764044943,0.2359550561797752,0.2726803110039633,0.2510525894005827,0.23162615500053296,0.3332921772591716,0.24560342746038122,0.26966292134831404,0.3366037243329639,0.25842696629213424,0.2655250011034507,0.24622372977325546,0.0,0.2332860038480471,0.25337212513823226,0.3037717639185069
xho,0.17029902882930337,0.28367453490351113,0.18400446423255257,0.29670329670329687,0.2289419804382623,0.2999567861221306,0.188838815665326,0.1683293079878302,0.13986536113556358,0.2624662421583376,0.3076923076923077,0.2652435031695528,0.13327983043692293,0.13958596056335337,0.14439162748260337,0.09484493355795953,0.2079625678101059,0.2332860038480471,0.0,0.26162241014406074,0.14752825587345098
yor,0.2847525271848761,0.23600636487611726,0.3059662487339394,0.297936062104189,0.1752870104384705,0.25337212513823226,0.19217311900202172,0.2943577149272033,0.2630941016450591,0.2368327559281369,0.2253087581839326,0.24046117623507757,0.2778517275927165,0.3128753017994531,0.2900915288199586,0.24914190502607014,0.24302964706249053,0.25337212513823226,0.26162241014406074,0.0,0.3138006374111152
zul,0.18677971550060235,0.33281137227794666,0.2603607144770508,0.32239425466864036,0.2998270964528402,0.29272052207594357,0.24851555470568998,0.1952166987821874,0.1801964124999682,0.2998270964528402,0.3333233795933397,0.3479440619007327,0.14905437812261968,0.16566802781091106,0.17115686180774636,0.09977769543936621,0.258615416685956,0.3037717639185069,0.14752825587345098,0.3138006374111152,0.0
