language,sim,f1
bam,0.5717393462736052,0.277
bbj,0.8576090194104073,0.025
ewe,0.6745509168283295,0.441
fon,0.6816892205569907,0.204
hau,0.7108057085060268,0.336
ibo,0.7557421816064581,0.269
kin,0.8989331499509892,0.557
lug,0.9438798074485386,0.495
luo,0.8224253152776162,0.414
mos,0.6154574548966638,0.263
pcm,0.6310315028394049,0.143
nya,0.9356674007618768,0.447
sna,0.9438798074485386,0.352
swa,0.8921479867729523,0.341
tsn,0.933563871396213,0.241
twi,0.7727272727272724,0.377
wol,0.7191465199607914,0.45
xho,0.8891084489487743,0.309
yor,0.6912603772030547,0.247
zul,0.8411251883587736,0.371
