language,sim,f1
bam,0.8581163303210333,0.804
bbj,0.9486832980505138,0.804
ewe,0.8451542547285165,0.793
fon,0.8581163303210333,0.802
hau,0.9128709291752769,0.81
ibo,0.8215838362577492,0.809
kin,0.8944271909999159,0.814
lug,0.9486832980505138,0.806
luo,0.9486832980505138,0.81
mos,0.8164965809277259,0.81
pcm,0.8999999999999999,0.809
nya,0.9999999999999999,0.818
sna,0.9486832980505138,0.814
swa,0.762770071396474,0.81
tsn,0.9486832980505138,0.813
twi,0.8999999999999999,0.807
wol,0.7999999999999999,0.813
xho,0.8944271909999159,0.814
yor,0.7999999999999999,0.81
zul,0.760638829255665,0.809
