group,members,min_sim,max_sim,mean_sim
High,"sna,lug,nya,tsn",0.933563871396213,0.9438798074485386,0.9392477217637917
Intermediate-A,"kin,swa,xho,bbj",0.8576090194104073,0.8989331499509892,0.8844496512707807
Intermediate-B,"zul,luo,twi,ibo",0.7557421816064581,0.8411251883587736,0.7980049894925301
Low-A,"wol,hau,yor,fon",0.6816892205569907,0.7191465199607914,0.7007254565567158
Low-B,"ewe,pcm,mos,bam",0.5717393462736052,0.6745509168283295,0.6231948052095009
