language,sim,f1
bam,0.8581163303210333,0.41
bbj,0.9486832980505138,0.052
ewe,0.8451542547285165,0.389
fon,0.8581163303210333,0.487
hau,0.9128709291752769,0.577
ibo,0.8215838362577492,0.481
kin,0.8944271909999159,0.619
lug,0.9486832980505138,0.619
luo,0.9486832980505138,0.447
mos,0.8164965809277259,0.355
pcm,0.8999999999999999,0.387
nya,0.9999999999999999,0.576
sna,0.9486832980505138,0.483
swa,0.762770071396474,0.584
tsn,0.9486832980505138,0.452
twi,0.8999999999999999,0.527
wol,0.7999999999999999,0.464
xho,0.8944271909999159,0.396
yor,0.7999999999999999,0.475
zul,0.760638829255665,0.515
