language,sim,f1
bam,-1.887216668732201,0.807
bbj,0.4868177713193539,0.803
ewe,-0.990361682376269,0.804
fon,-0.9142402343044999,0.805
hau,-0.76471338064254,0.813
ibo,-0.1894140893457697,0.813
kin,0.9469869291022488,0.813
lug,1.2263079214364425,0.817
luo,0.17919649474116897,0.817
mos,-1.4561144624080455,0.81
pcm,-1.4072336677158919,0.813
nya,1.0550332030299276,0.808
sna,1.2263079214364425,0.816
swa,1.1389345376925186,0.812
tsn,1.1389345376925186,0.817
twi,-0.1894140893457697,0.81
wol,-0.458801147537182,0.807
xho,0.8656280591264031,0.819
yor,-0.7187989609076025,0.811
zul,0.7121610077387419,0.815
