label,rho,p,n
co-train_mbert,0.5115481552625875,0.021140946330441425,20
co-train_xlm-r,0.5142952690597844,0.020343396452600988,20
zero-shot_mbert,0.5250094391587448,0.017458729931860234,20
zero-shot_xlm-r,0.4069199234740413,0.07497695299945167,20
