,nyn,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,pcm,nya,sna,swa,tsn,twi,wol,xho,yor,zul
nyn,1.0,0.5717393462736052,0.8576090194104073,0.6745509168283295,0.6816892205569907,0.7108057085060268,0.7557421816064581,0.8989331499509892,0.9438798074485386,0.8224253152776162,0.6154574548966638,0.6310315028394049,0.9356674007618768,0.9438798074485386,0.8921479867729523,0.933563871396213,0.7727272727272724,0.7191465199607914,0.8891084489487743,0.6912603772030547,0.8411251883587736
bam,0.5717393462736052,1.0,0.5957446808510637,0.7158291329065409,0.7446808510638299,0.6472907152501883,0.6236919707480434,0.5436067275445351,0.5436067275445351,0.6021853510670764,0.7542890232888569,0.6105601427732261,0.5473987486932372,0.5436067275445351,0.5684525467199002,0.5591721117051424,0.7036791954136677,0.6305838039516607,0.6021853510670764,0.6227085654194975,0.5557919118970528
bbj,0.8576090194104073,0.5957446808510637,1.0,0.7368829309332039,0.7021276595744681,0.728202054656462,0.7312250691528784,0.8480264949694747,0.8480264949694747,0.7527316888338454,0.6153410453145939,0.652667738826552,0.8632057190931823,0.8480264949694748,0.8421519210665193,0.8602647872386805,0.7696491199836992,0.7175608803587864,0.8602647872386805,0.6457718456202196,0.793988445567218
ewe,0.6745509168283295,0.7158291329065409,0.7368829309332039,1.0,0.7789905269865298,0.6805446536716204,0.6810052246069987,0.6670137985134993,0.688530372659096,0.6810052246069987,0.7856742013183867,0.6041666666666666,0.7083333333333335,0.688530372659096,0.7083333333333335,0.7022866378759675,0.8051091587951025,0.6885303726590964,0.65972381133803,0.6390096504226942,0.6678230711206287
fon,0.6816892205569907,0.7446808510638299,0.7021276595744681,0.7789905269865298,1.0,0.728202054656462,0.6882118297909444,0.6523280730534421,0.6523280730534421,0.7097184494719114,0.8138381567063983,0.673721536853215,0.673721536853215,0.6523280730534421,0.652667738826552,0.6667052101099774,0.7916390948403765,0.7393051494605677,0.7312250691528784,0.7610882466238302,0.6351907564537743
hau,0.7108057085060268,0.6472907152501883,0.728202054656462,0.6805446536716204,0.728202054656462,1.0,0.6951816970931015,0.6821910402406467,0.6821910402406467,0.7565212586013165,0.6604949365843473,0.8006407690254358,0.7005606728972563,0.6821910402406467,0.6605286344459845,0.6951816970931011,0.6271815075053182,0.7648808633001188,0.6951816970931011,0.7235728659282988,0.6982375043891671
ibo,0.7557421816064581,0.6236919707480434,0.7312250691528784,0.6810052246069987,0.6882118297909444,0.6951816970931015,1.0,0.7253185207353654,0.7692772189617512,0.7173913043478258,0.6420578831241027,0.6810052246069987,0.7448494644139049,0.7692772189617512,0.7661308776828736,0.7608695652173912,0.6001482030404226,0.7472978698485585,0.7608695652173912,0.7693164667982592,0.7223151185146156
kin,0.8989331499509892,0.5436067275445351,0.8480264949694747,0.6670137985134993,0.6523280730534421,0.6821910402406467,0.7253185207353654,1.0,0.9555555555555559,0.7472978698485583,0.5680085781535059,0.6024640760767092,0.9252126882606598,0.9333333333333337,0.9252126882606598,0.9451120118672942,0.7416198487095661,0.7111111111111111,0.9011533136409084,0.6363961030678932,0.852012867230259
lug,0.9438798074485386,0.5436067275445351,0.8480264949694747,0.688530372659096,0.6523280730534421,0.6821910402406467,0.7692772189617512,0.9555555555555559,1.0,0.791256568074944,0.5680085781535059,0.5809475019311124,0.9467292624062565,0.9777777777777782,0.9252126882606598,0.9670913609804871,0.7416198487095661,0.7111111111111111,0.9011533136409084,0.6835365551469964,0.852012867230259
luo,0.8224253152776162,0.6021853510670764,0.7527316888338454,0.6810052246069987,0.7097184494719114,0.7565212586013165,0.7173913043478258,0.7472978698485583,0.791256568074944,1.0,0.6219935742764745,0.7235680511449362,0.7874122909518423,0.791256568074944,0.7448494644139049,0.7826086956521736,0.6446036254878613,0.7472978698485583,0.7173913043478258,0.7460038465922513,0.7022508096669874
mos,0.6154574548966638,0.7542890232888569,0.6153410453145939,0.7856742013183867,0.8138381567063983,0.6604949365843473,0.6420578831241027,0.5680085781535059,0.5680085781535059,0.6219935742764745,1.0,0.6678230711206287,0.58925565098879,0.5680085781535059,0.5696137959558303,0.5818649565812181,0.6770032003863303,0.6085806194501849,0.6219935742764745,0.6670137985134993,0.5925925925925928
pcm,0.6310315028394049,0.6105601427732261,0.652667738826552,0.6041666666666666,0.673721536853215,0.8006407690254358,0.6810052246069987,0.6024640760767092,0.5809475019311124,0.7235680511449362,0.6678230711206287,1.0,0.5833333333333333,0.5809475019311124,0.5624999999999999,0.5745981582621552,0.5657523818560181,0.7100469468046927,0.5958795715311239,0.6618314236520761,0.5303300858899109
nya,0.9356674007618768,0.5473987486932372,0.8632057190931823,0.7083333333333335,0.673721536853215,0.7005606728972563,0.7448494644139049,0.9252126882606598,0.9467292624062565,0.7874122909518423,0.58925565098879,0.5833333333333333,1.0,0.9682458365518533,0.9375000000000006,0.9789450103725607,0.7615897448061786,0.7530800950958861,0.9151007705656545,0.6618314236520761,0.8838834764831851
sna,0.9438798074485386,0.5436067275445351,0.8480264949694748,0.688530372659096,0.6523280730534421,0.6821910402406467,0.7692772189617512,0.9333333333333337,0.9777777777777782,0.791256568074944,0.5680085781535059,0.5809475019311124,0.9682458365518533,1.0,0.9252126882606598,0.98907071009368,0.7416198487095661,0.7111111111111111,0.9231326627541013,0.6835365551469964,0.8722988878785986
swa,0.8921479867729523,0.5684525467199002,0.8421519210665193,0.7083333333333335,0.652667738826552,0.6605286344459845,0.7661308776828736,0.9252126882606598,0.9252126882606598,0.7448494644139049,0.5696137959558303,0.5624999999999999,0.9375000000000006,0.9252126882606598,1.0,0.9363821838346232,0.7398300378117163,0.7745966692414828,0.8938193572966858,0.6390096504226942,0.8445997664172658
