language,sim,f1
bam,-1.887216668732201,0.41
bbj,0.4868177713193539,0.052
ewe,-0.990361682376269,0.389
fon,-0.9142402343044999,0.487
hau,-0.76471338064254,0.577
ibo,-0.1894140893457697,0.481
kin,0.9469869291022488,0.619
lug,1.2263079214364425,0.619
luo,0.17919649474116897,0.447
mos,-1.4561144624080455,0.355
pcm,-1.4072336677158919,0.387
nya,1.0550332030299276,0.576
sna,1.2263079214364425,0.483
swa,1.1389345376925186,0.584
tsn,1.1389345376925186,0.452
twi,-0.1894140893457697,0.527
wol,-0.458801147537182,0.464
xho,0.8656280591264031,0.396
yor,-0.7187989609076025,0.475
zul,0.7121610077387419,0.515
