language,sim,f1
bam,-1.887216668732201,0.332
bbj,0.4868177713193539,0.096
ewe,-0.990361682376269,0.263
fon,-0.9142402343044999,0.383
hau,-0.76471338064254,0.294
ibo,-0.1894140893457697,0.243
kin,0.9469869291022488,0.576
lug,1.2263079214364425,0.521
luo,0.17919649474116897,0.323
mos,-1.4561144624080455,0.33
pcm,-1.4072336677158919,0.17
nya,1.0550332030299276,0.462
sna,1.2263079214364425,0.307
swa,1.1389345376925186,0.5
tsn,1.1389345376925186,0.433
twi,-0.1894140893457697,0.398
wol,-0.458801147537182,0.481
xho,0.8656280591264031,0.417
yor,-0.7187989609076025,0.174
zul,0.7121610077387419,0.415
