language,sim,f1
bam,0.48591265790377514,0.82
bbj,0.8346223261119854,0.815
ewe,0.6176470588235294,0.823
fon,0.6288281455225323,0.819
hau,0.6507913734559684,0.828
ibo,0.7352941176470589,0.828
kin,0.9022141990953614,0.82
lug,0.9432422182837981,0.831
luo,0.7894374242084412,0.818
mos,0.5492350363810895,0.812
pcm,0.5564148840746572,0.826
nya,0.9180845587231838,0.814
sna,0.9432422182837981,0.824
swa,0.9304083928170914,0.827
tsn,0.9304083928170914,0.826
twi,0.7352941176470589,0.817
wol,0.695725242782938,0.821
xho,0.890263814519451,0.813
yor,0.6575355056394067,0.822
zul,0.8677218312746243,0.814
