label,rho,p_rho,r,p_r,n
co-train_mbert,0.5115481552625875,0.021140946330441425,0.49546211561778414,0.026323343568043694,20
co-train_xlm-r,0.5142952690597844,0.020343396452600988,0.4882448249745584,0.028951866529908114,20
co-train_afro-xlmr,0.10470816477270144,0.6604233878937518,0.053867460194458275,0.8215481712691027,20
zero-shot_mbert,0.5250094391587448,0.017458729931860234,0.4716390196722889,0.0357832766226565,20
zero-shot_xlm-r,0.4069199234740413,0.07497695299945167,0.3280675475274025,0.15791068757574836,20
zero-shot_afro-xlmr,0.5165537998495108,0.019705797471411848,0.2616818972506027,0.2650715597039675,20
