language,sim,f1
bam,0.8029550685469663,0.804
bbj,0.7086833868923007,0.804
ewe,0.6739548325214897,0.793
fon,0.7454128010052141,0.802
hau,0.6974858324629157,0.81
ibo,0.7548294124240684,0.809
kin,0.8455943246644709,0.814
lug,0.8124999999999999,0.806
luo,0.7364853795464746,0.81
mos,0.7556096518348253,0.81
pcm,0.8029550685469663,0.809
nya,0.8558443270800606,0.818
sna,0.8000000000000004,0.814
swa,0.8558443270800606,0.81
tsn,0.87287156094397,0.813
twi,0.7846715615207801,0.807
wol,0.6662522386112822,0.813
xho,0.7642171012073582,0.814
yor,0.7470178808339963,0.81
zul,0.7742781018131457,0.809
