language,sim,f1
bam,0.48591265790377514,0.804
bbj,0.8346223261119854,0.804
ewe,0.6176470588235294,0.793
fon,0.6288281455225323,0.802
hau,0.6507913734559684,0.81
ibo,0.7352941176470589,0.809
kin,0.9022141990953614,0.814
lug,0.9432422182837981,0.806
luo,0.7894374242084412,0.81
mos,0.5492350363810895,0.81
pcm,0.5564148840746572,0.809
nya,0.9180845587231838,0.818
sna,0.9432422182837981,0.814
swa,0.9304083928170914,0.81
tsn,0.9304083928170914,0.813
twi,0.7352941176470589,0.807
wol,0.695725242782938,0.813
xho,0.890263814519451,0.814
yor,0.6575355056394067,0.81
zul,0.8677218312746243,0.809
