language,sim,f1
bam,-1.6994254539599942,0.804
bbj,0.5527958694177285,0.804
ewe,-0.931569421809745,0.793
fon,-0.84166202142394,0.802
hau,-0.6135301679228016,0.81
ibo,-0.26692371171120405,0.809
kin,0.8630409540552489,0.814
lug,1.2047208154356985,0.806
luo,0.28160093315595625,0.81
mos,-1.3925786240596603,0.81
pcm,-1.2026071320470109,0.809
nya,1.1439910463467238,0.818
sna,1.2047208154356985,0.814
swa,0.8006804389834844,0.81
tsn,1.127693571094924,0.813
twi,-0.12899315251954735,0.807
wol,-0.5423768679524559,0.813
xho,0.791316027213846,0.814
yor,-0.7715875753830601,0.81
zul,0.42069365765010125,0.809
