language,sim,f1
bam,-1.887216668732201,0.82
bbj,0.4868177713193539,0.815
ewe,-0.990361682376269,0.823
fon,-0.9142402343044999,0.819
hau,-0.76471338064254,0.828
ibo,-0.1894140893457697,0.828
kin,0.9469869291022488,0.82
lug,1.2263079214364425,0.831
luo,0.17919649474116897,0.818
mos,-1.4561144624080455,0.812
pcm,-1.4072336677158919,0.826
nya,1.0550332030299276,0.814
sna,1.2263079214364425,0.824
swa,1.1389345376925186,0.827
tsn,1.1389345376925186,0.826
twi,-0.1894140893457697,0.817
wol,-0.458801147537182,0.821
xho,0.8656280591264031,0.813
yor,-0.7187989609076025,0.822
zul,0.7121610077387419,0.814
