language,sim,f1
bam,0.8581163303210333,0.82
bbj,0.9486832980505138,0.815
ewe,0.8451542547285165,0.823
fon,0.8581163303210333,0.819
hau,0.9128709291752769,0.828
ibo,0.8215838362577492,0.828
kin,0.8944271909999159,0.82
lug,0.9486832980505138,0.831
luo,0.9486832980505138,0.818
mos,0.8164965809277259,0.812
pcm,0.8999999999999999,0.826
nya,0.9999999999999999,0.814
sna,0.9486832980505138,0.824
swa,0.762770071396474,0.827
tsn,0.9486832980505138,0.826
twi,0.8999999999999999,0.817
wol,0.7999999999999999,0.821
xho,0.8944271909999159,0.813
yor,0.7999999999999999,0.822
zul,0.760638829255665,0.814
