language,sim,f1
bam,0.48591265790377514,0.41
bbj,0.8346223261119854,0.052
ewe,0.6176470588235294,0.389
fon,0.6288281455225323,0.487
hau,0.6507913734559684,0.577
ibo,0.7352941176470589,0.481
kin,0.9022141990953614,0.619
lug,0.9432422182837981,0.619
luo,0.7894374242084412,0.447
mos,0.5492350363810895,0.355
pcm,0.5564148840746572,0.387
nya,0.9180845587231838,0.576
sna,0.9432422182837981,0.483
swa,0.9304083928170914,0.584
tsn,0.9304083928170914,0.452
twi,0.7352941176470589,0.527
wol,0.695725242782938,0.464
xho,0.890263814519451,0.396
yor,0.6575355056394067,0.475
zul,0.8677218312746243,0.515
