language,sim,f1
bam,0.48591265790377514,0.332
bbj,0.8346223261119854,0.096
ewe,0.6176470588235294,0.263
fon,0.6288281455225323,0.383
hau,0.6507913734559684,0.294
ibo,0.7352941176470589,0.243
kin,0.9022141990953614,0.576
lug,0.9432422182837981,0.521
luo,0.7894374242084412,0.323
mos,0.5492350363810895,0.33
pcm,0.5564148840746572,0.17
nya,0.9180845587231838,0.462
sna,0.9432422182837981,0.307
swa,0.9304083928170914,0.5
tsn,0.9304083928170914,0.433
twi,0.7352941176470589,0.398
wol,0.695725242782938,0.481
xho,0.890263814519451,0.417
yor,0.6575355056394067,0.174
zul,0.8677218312746243,0.415
