language,sim,f1
bam,0.8581163303210333,0.807
bbj,0.9486832980505138,0.803
ewe,0.8451542547285165,0.804
fon,0.8581163303210333,0.805
hau,0.9128709291752769,0.813
ibo,0.8215838362577492,0.813
kin,0.8944271909999159,0.813
lug,0.9486832980505138,0.817
luo,0.9486832980505138,0.817
mos,0.8164965809277259,0.81
pcm,0.8999999999999999,0.813
nya,0.9999999999999999,0.808
sna,0.9486832980505138,0.816
swa,0.762770071396474,0.812
tsn,0.9486832980505138,0.817
twi,0.8999999999999999,0.81
wol,0.7999999999999999,0.807
xho,0.8944271909999159,0.819
yor,0.7999999999999999,0.811
zul,0.760638829255665,0.815
