block,label,rho,p_rho,r,p_r,n
syntax_knn,co-train_mbert_block_syntax_knn,0.5460119159432798,0.012754650648767215,0.5022793554584537,0.02401695301441147,20
syntax_knn,co-train_xlm-r_block_syntax_knn,0.4922224203910122,0.027478898976126976,0.48844812698992224,0.02887510751718517,20
syntax_knn,co-train_afro-xlmr_block_syntax_knn,0.15303431166292816,0.5194883497960964,0.05381394838555155,0.8217227177131718,20
syntax_knn,zero-shot_mbert_block_syntax_knn,0.5336849468837652,0.01537120781600486,0.4958982493418918,0.026170753714213665,20
syntax_knn,zero-shot_xlm-r_block_syntax_knn,0.3756118314456965,0.10267305086193529,0.3364130214155471,0.1469802520969896,20
syntax_knn,zero-shot_afro-xlmr_block_syntax_knn,0.5192019544297374,0.018978598154657175,0.28236936184268363,0.22773224993300223,20
phonology_knn,co-train_mbert_block_phonology_knn,0.2454209914180454,0.296974116959921,0.1709537263833218,0.47113573163443817,20
phonology_knn,co-train_xlm-r_block_phonology_knn,0.19033051214149513,0.421533041148177,0.22330944250893733,0.34394853714011026,20
phonology_knn,co-train_afro-xlmr_block_phonology_knn,0.04977347349294667,0.8349248049601042,0.014271690522400945,0.9523802504296365,20
phonology_knn,zero-shot_mbert_block_phonology_knn,-0.02655648768121343,0.9115084392304011,-0.017777366114023918,0.9407007723111354,20
phonology_knn,zero-shot_xlm-r_block_phonology_knn,0.059941786480453174,0.8017890906953298,0.027977578863596336,0.9067923198504944,20
phonology_knn,zero-shot_afro-xlmr_block_phonology_knn,0.03757258883862277,0.8750358289983434,-0.07316148857947136,0.7591999350643042,20
ALL,co-train_mbert_block_ALL,0.5115481552625875,0.021140946330441425,0.49546211561778414,0.026323343568043694,20
ALL,co-train_xlm-r_block_ALL,0.5142952690597844,0.020343396452600988,0.4882448249745584,0.028951866529908114,20
ALL,co-train_afro-xlmr_block_ALL,0.10470816477270144,0.6604233878937518,0.053867460194458275,0.8215481712691027,20
ALL,zero-shot_mbert_block_ALL,0.5250094391587448,0.017458729931860234,0.4716390196722889,0.0357832766226565,20
ALL,zero-shot_xlm-r_block_ALL,0.4069199234740413,0.07497695299945167,0.3280675475274025,0.15791068757574836,20
ALL,zero-shot_afro-xlmr_block_ALL,0.5165537998495108,0.019705797471411848,0.2616818972506027,0.2650715597039675,20
LEARNED,co-train_mbert_weighted,0.5460119159432798,0.012754650648767215,0.5022793554584536,0.024016953014411542,20
LEARNED,co-train_xlm-r_weighted,0.5142952690597844,0.020343396452600988,0.49198453308495843,0.02756529869690749,20
LEARNED,co-train_afro-xlmr_weighted,0.15303431166292816,0.5194883497960964,0.05381394838555155,0.8217227177131718,20
LEARNED,zero-shot_mbert_weighted,0.5336849468837652,0.01537120781600486,0.49589824934189164,0.02617075371421374,20
LEARNED,zero-shot_xlm-r_weighted,0.3756118314456965,0.10267305086193529,0.3364130214155469,0.1469802520969896,20
LEARNED,zero-shot_afro-xlmr_weighted,0.5192019544297374,0.018978598154657175,0.2823693618426836,0.22773224993300262,20
