language,sim,f1
bam,0.48591265790377514,0.277
bbj,0.8346223261119854,0.025
ewe,0.6176470588235294,0.441
fon,0.6288281455225323,0.204
hau,0.6507913734559684,0.336
ibo,0.7352941176470589,0.269
kin,0.9022141990953614,0.557
lug,0.9432422182837981,0.495
luo,0.7894374242084412,0.414
mos,0.5492350363810895,0.263
pcm,0.5564148840746572,0.143
nya,0.9180845587231838,0.447
sna,0.9432422182837981,0.352
swa,0.9304083928170914,0.341
tsn,0.9304083928170914,0.241
twi,0.7352941176470589,0.377
wol,0.695725242782938,0.45
xho,0.890263814519451,0.309
yor,0.6575355056394067,0.247
zul,0.8677218312746243,0.371
