language,sim,f1
bam,0.48591265790377514,0.807
bbj,0.8346223261119854,0.803
ewe,0.6176470588235294,0.804
fon,0.6288281455225323,0.805
hau,0.6507913734559684,0.813
ibo,0.7352941176470589,0.813
kin,0.9022141990953614,0.813
lug,0.9432422182837981,0.817
luo,0.7894374242084412,0.817
mos,0.5492350363810895,0.81
pcm,0.5564148840746572,0.813
nya,0.9180845587231838,0.808
sna,0.9432422182837981,0.816
swa,0.9304083928170914,0.812
tsn,0.9304083928170914,0.817
twi,0.7352941176470589,0.81
wol,0.695725242782938,0.807
xho,0.890263814519451,0.819
yor,0.6575355056394067,0.811
zul,0.8677218312746243,0.815
