,ORG,LOC,DATE,PER,Mean
swa,0.840157,0.81627274,0.73771393,0.8995776,0.8234303
lug,0.84101593,0.79040265,0.7086811,0.95311725,0.8233043
kin,0.9012042,0.7938955,0.6885328,0.9082978,0.8229826
sna,0.9227026,0.77711475,0.73430413,0.8557136,0.8224588
hau,0.8726376,0.7849412,0.71096724,0.9021449,0.8176727
ewe,0.8841602,0.77806187,0.70623,0.90161824,0.8175176
pcm,0.8798995,0.7679277,0.7332749,0.8806859,0.815447
luo,0.9015175,0.7607733,0.66989255,0.9214064,0.8133974
wol,0.8335305,0.8471966,0.67478096,0.8928069,0.8120787
ibo,0.876353,0.77603984,0.6743704,0.9195483,0.81157786
mos,0.8647608,0.7383333,0.68237084,0.90585315,0.7978295
xho,0.72260886,0.8545106,0.8312171,0.78016883,0.79712635
bbj,0.82826257,0.77249956,0.6845111,0.895675,0.79523706
twi,0.9054538,0.7555448,0.6883642,0.82429814,0.79341525
tsn,0.790218,0.8222679,0.71352893,0.8400409,0.7915139
zul,0.7753765,0.8007806,0.8247748,0.75368744,0.7886548
nya,0.90618783,0.76570165,0.69223946,0.7435154,0.77691114
bam,0.7563119,0.74695563,0.69356054,0.8961556,0.77324593
yor,0.8296981,0.76857525,0.7068877,0.7807481,0.7714773
fon,0.81310266,0.7433595,0.67213726,0.8526031,0.7703006
