,PER,ORG,DATE,LOC
bam,,0.9486978650093079,,0.9565067291259766
bbj,,0.9567425847053528,,0.93165123462677
ewe,0.9693956971168518,0.9534879922866821,,
fon,0.9599741101264954,0.9646956920623779,,0.9498156905174255
hau,0.9886420369148254,0.9822216033935547,,0.9668386578559875
ibo,,0.9725008606910706,,0.9682629108428955
kin,0.9879938364028931,0.9746297001838684,,0.9722047448158264
lug,0.9885238409042358,0.9868155121803284,,
luo,0.9745286107063293,0.9679033160209656,,
mos,0.9802319407463074,0.9763957858085632,,
nya,,0.9704182744026184,,0.964127779006958
pcm,0.9643112421035767,,,0.9279501438140869
sna,0.988322377204895,,,0.9759761095046997
swa,0.9462630748748779,0.9120263457298279,,0.9260662794113159
tsn,,0.9732996225357056,,0.9625013470649719
twi,0.9831803441047668,0.9833982586860657,,0.9689589142799377
wol,0.9732793569564819,0.9782159328460693,,0.969322919845581
xho,0.9685903787612915,,,0.9720431566238403
yor,,0.9554901719093323,,0.9233599901199341
zul,,,,0.9708889722824097
