,DATE,ORG,PER,LOC
bam,,0.9689683318138123,,
bbj,,0.9661437273025513,,0.932362973690033
ewe,,0.9699890613555908,0.9767857193946838,
fon,,,0.9682295322418213,
hau,,0.9871745109558105,0.9879325032234192,
ibo,,0.9758313298225403,,0.9728851914405823
kin,,0.983241617679596,,
lug,,0.9916600584983826,0.9896010160446167,
luo,,0.9803611636161804,0.9749860167503357,
mos,,0.9800542593002319,0.9828205704689026,
nya,,0.9811302423477173,,
pcm,,,0.9667634963989258,0.9350380301475525
sna,,,0.9884630441665649,0.973313570022583
swa,,,0.9605786204338074,
tsn,,0.9734082221984863,,0.9630124568939209
twi,,,0.9851564764976501,
wol,,0.9826216697692871,,
xho,,,0.973702609539032,0.9696369171142578
yor,,0.953348696231842,,0.9310084581375122
zul,,,,0.966627299785614
