,DATE,LOC,ORG,PER
bam,,0.9999743103981018,0.9999745488166809,
bbj,,0.9999904036521912,0.9999850392341614,
ewe,,,0.9999872446060181,0.9999786615371704
fon,,0.9999768137931824,0.9999933838844299,0.9999769926071167
hau,,,0.9999909400939941,0.9999940395355225
ibo,,0.9999887347221375,0.9999887943267822,
kin,,0.9999484419822693,0.9999909996986389,
lug,,,0.9999726414680481,0.9999895095825195
luo,,,0.9999671578407288,0.9999952912330627
mos,,,0.9999768733978271,0.9999843239784241
nya,,0.9999720454216003,0.9999917149543762,
pcm,,0.9999849796295166,,0.9999564290046692
sna,,0.9999887943267822,,0.9999954104423523
swa,,0.9999820590019226,,0.9999916553497314
tsn,,0.999995231628418,0.999930739402771,
twi,,0.9999867677688599,0.9999922513961792,0.9999951124191284
wol,,0.9999885559082031,0.9999606013298035,
xho,,0.9999827146530151,,0.9999889731407166
yor,,0.9999578595161438,0.9999939203262329,
zul,,0.9999638199806213,,
