,LOC,PER,ORG,DATE
bam,0.9409774541854858,0.9837839007377625,0.9309103488922119,
bbj,0.8845565319061279,0.9834311008453369,0.9710463285446167,
ewe,0.9570569396018982,0.975745677947998,0.9760376214981079,
fon,0.9108879566192627,0.96958988904953,0.9809640645980835,
hau,0.9020521640777588,0.9805150628089905,0.9737306237220764,
ibo,0.9024710059165955,0.9851386547088623,0.9798102974891663,
kin,0.9621610641479492,0.979499101638794,0.9785357117652893,
lug,0.9831074476242065,0.967052698135376,0.9771318435668945,
luo,0.9700698852539062,0.9793967008590698,0.9615864157676697,
mos,0.900012731552124,0.9696693420410156,0.979505717754364,
nya,0.902677595615387,0.9898807406425476,0.9749137759208679,
pcm,0.9662348031997681,0.9863754510879517,0.9423578977584839,
sna,0.8996941447257996,0.9770634770393372,0.9618884921073914,
swa,0.976347029209137,0.9731582999229431,0.9601786732673645,
tsn,0.9404305815696716,0.9807889461517334,0.9681200981140137,
twi,0.9685643911361694,0.9875925779342651,0.9846401214599609,
wol,0.8951495885848999,0.9832509756088257,0.9727636575698853,
xho,0.8821415305137634,0.939335286617279,0.9677205085754395,
yor,0.795139729976654,0.9506328105926514,0.9697290062904358,
zul,0.9274477362632751,0.9647384881973267,0.9761691093444824,
