,LOC,ORG,DATE,PER,Mean
lug,0.9158667601263801,0.8953065801507425,0.8464331586598272,0.9758388168125638,0.9083613289373784
kin,0.8805439331866336,0.9123619709248637,0.8501216028634266,0.9149460320362969,0.8894933847528053
twi,0.8511265105709127,0.9281429306954355,0.8152356406758073,0.933467707459147,0.8819931973503257
ibo,0.8251654913325175,0.8856487141824789,0.8989890370937772,0.9129714148507294,0.8806936643648757
luo,0.8821640946732228,0.9046546942808695,0.7828157475221479,0.9332012660423088,0.8757089506296372
sna,0.7694721671840253,0.9031769415220579,0.9038484566215047,0.9165658649158973,0.8732658575608713
nya,0.8134938388247385,0.9207582669652464,0.7959811853960779,0.9089496705531027,0.8597957404347913
swa,0.8645395361484818,0.8578313375251517,0.7639861289328446,0.925086203730364,0.8528608015842105
zul,0.7991224249420572,0.9071833405125438,0.8341939845499086,0.8602711404110589,0.8501927226038921
tsn,0.7579041427904316,0.8826754070618815,0.8308903751056855,0.912834529250895,0.8460761135522235
xho,0.682781826786514,0.8859095346051661,0.907243619471455,0.8845057939947868,0.8401101937144805
hau,0.6623480878742553,0.8706687180074676,0.8187718813063476,0.8915120829450887,0.8108251925332898
wol,0.6772241697743321,0.8751118146855573,0.7952826362486133,0.878792589844253,0.8066028026381888
bam,0.7601101539996535,0.7979440362332414,0.7549889064978149,0.8861306651240897,0.7997934404636999
ewe,0.7902746373875854,0.8904640118644569,0.6054449421904687,0.9018659308929444,0.7970123805838638
mos,0.71916941976758,0.8724034329048606,0.671610929737643,0.8939793516036806,0.7892907835034411
fon,0.650002086213075,0.8585764679268768,0.6997220079835667,0.9031240931478696,0.777856163817847
pcm,0.8001408295446644,0.8328226712737095,0.5350084099062965,0.9219660397693472,0.7724844876235044
yor,0.5082133171262434,0.8347986368652971,0.7156026884040562,0.7755917067441179,0.7085515872849286
bbj,0.4586878814007585,0.7368285040746446,0.6260487622283327,0.9068151452143967,0.6820950732295332
