,PER,LOC,DATE,ORG,Mean
lug,0.9999066591262817,0.9997302889823914,0.9995464086532593,0.9998937249183655,0.9997692704200745
hau,0.9998806715011597,0.9998170733451843,0.9994205832481384,0.9997381567955017,0.999714121222496
nya,0.9997830986976624,0.9996523857116699,0.9992247819900513,0.9999004602432251,0.9996401816606522
kin,0.9997926354408264,0.9997637271881104,0.9990501403808594,0.9998525381088257,0.9996147602796555
twi,0.9997140765190125,0.9996058344841003,0.9993829727172852,0.9996791481971741,0.999595507979393
xho,0.9991467595100403,0.9995796084403992,0.999772846698761,0.9997950792312622,0.9995735734701157
ibo,0.9996747374534607,0.9995158314704895,0.9994920492172241,0.9995783567428589,0.9995652437210083
mos,0.9995253682136536,0.9996802806854248,0.9992172718048096,0.9996881484985352,0.9995277673006058
sna,0.9997883439064026,0.9998195171356201,0.9985525608062744,0.9998342394828796,0.9994986653327942
zul,0.9995967745780945,0.9990564584732056,0.9995500445365906,0.9997818470001221,0.9994962811470032
luo,0.9992737174034119,0.9995517730712891,0.9995809197425842,0.9995773434638977,0.9994959384202957
tsn,0.9994526505470276,0.9991931915283203,0.9995992183685303,0.9997333884239197,0.9994946122169495
swa,0.9996051788330078,0.9993318915367126,0.9993282556533813,0.9996795058250427,0.9994862079620361
wol,0.9994902014732361,0.9989510774612427,0.9994857907295227,0.9996935725212097,0.9994051605463028
bam,0.9994530081748962,0.999239981174469,0.999350905418396,0.9995043873786926,0.9993870705366135
ewe,0.9992613196372986,0.9990751147270203,0.999315619468689,0.9995824098587036,0.9993086159229279
bbj,0.9992958307266235,0.9987652897834778,0.9985857009887695,0.999176561832428,0.9989558458328247
fon,0.9987655878067017,0.9991201162338257,0.9983827471733093,0.9995471239089966,0.9989538937807083
pcm,0.9989393353462219,0.9984583258628845,0.9988077878952026,0.9988565444946289,0.9987654983997345
yor,0.9986916780471802,0.9986410140991211,0.9981852769851685,0.9988698363304138,0.9985969513654709
