,PER,ORG,LOC,DATE,Mean
swa,0.9998579,0.9998981,0.9996266,0.9988754,0.99956447
xho,0.9992304,0.9992919,0.9997407,0.999584,0.9994617
hau,0.999864,0.99992025,0.9995654,0.99835294,0.99942565
sna,0.99983114,0.9999595,0.99905866,0.9986757,0.9993813
lug,0.9999847,0.99994516,0.9990052,0.9984785,0.9993534
zul,0.9989181,0.9996928,0.9989402,0.99967194,0.9993058
ewe,0.99991804,0.9998737,0.9991729,0.99813396,0.9992747
tsn,0.99970096,0.99982023,0.99933773,0.9981851,0.999261
pcm,0.9998793,0.9999007,0.99939996,0.997713,0.99922323
yor,0.9994655,0.99972934,0.9993332,0.9980643,0.9991481
wol,0.9999257,0.9998359,0.9996992,0.9970708,0.9991329
luo,0.9999611,0.99989635,0.999361,0.9969239,0.9990356
kin,0.99995875,0.9999357,0.9991033,0.9971321,0.99903244
mos,0.99993616,0.9998677,0.9989346,0.9972811,0.99900484
twi,0.9999178,0.9997863,0.99886596,0.99711895,0.9989222
bam,0.99986887,0.99942046,0.9986115,0.99766946,0.99889255
nya,0.9992457,0.999917,0.9989616,0.99725974,0.99884605
ibo,0.9999634,0.99991626,0.9987869,0.9961833,0.9987124
fon,0.9998042,0.999745,0.99891603,0.99609685,0.9986405
bbj,0.9998726,0.9996946,0.99818325,0.99654037,0.9985727
