,DATE,ORG,PER,LOC,Mean
lug,0.6625215,0.74668235,0.7990523,0.7802079,0.74711597
kin,0.67633206,0.7100132,0.7161413,0.74163675,0.71103084
nya,0.655324,0.7242762,0.73594445,0.7098382,0.7063457
sna,0.6734914,0.70579755,0.6905701,0.703837,0.693424
luo,0.6269089,0.68512946,0.69947386,0.68759054,0.6747757
xho,0.68020517,0.6829583,0.64125144,0.6839631,0.6720945
zul,0.62702405,0.6670633,0.7025549,0.68705493,0.6709243
tsn,0.6413906,0.6861928,0.67480004,0.6628977,0.6663203
wol,0.63189304,0.65694976,0.66670704,0.64995456,0.6513761
ibo,0.6262911,0.6373304,0.67840683,0.6584636,0.650123
hau,0.654496,0.64243335,0.6589567,0.64188695,0.64944327
swa,0.61229163,0.6416285,0.6749951,0.6388615,0.64194417
twi,0.6084954,0.6641611,0.6618049,0.62311935,0.6393952
bam,0.6244508,0.6100879,0.6461353,0.6252058,0.6264699
ewe,0.60448194,0.63229173,0.6445801,0.62274015,0.62602353
mos,0.60448056,0.6323668,0.6626951,0.6039726,0.6258788
yor,0.57187986,0.60594094,0.5947624,0.5905744,0.59078944
pcm,0.55500484,0.59974736,0.62109005,0.5840001,0.5899606
fon,0.5329336,0.59060925,0.6159476,0.57975274,0.5798108
bbj,0.54986244,0.5323033,0.58987415,0.5266874,0.5496818
