,LOC,DATE,PER,ORG
bam,0.9555621147155762,,0.9029144048690796,0.9410754442214966
bbj,0.8863104581832886,,0.9107000231742859,0.9516040086746216
ewe,0.9497901797294617,,0.8956083059310913,0.9531486630439758
fon,0.9418862462043762,,0.8868198394775391,0.9651021957397461
hau,0.9449524879455566,,0.9051915407180786,0.9639451503753662
ibo,0.9456514120101929,,0.9083953499794006,0.9688680768013
kin,0.9463362693786621,,0.9069194793701172,0.9314321279525757
lug,0.9337068200111389,,0.8849859237670898,0.9591146111488342
luo,0.9465832710266113,,0.9069969654083252,0.9373509883880615
mos,0.9448689818382263,,0.8921785950660706,0.9592106342315674
nya,0.941859781742096,,0.9138191342353821,0.9516656994819641
pcm,0.9624432921409607,,0.9096508622169495,0.9213719367980957
sna,0.9446027874946594,,0.9066682457923889,0.9467861652374268
swa,0.9378891587257385,,0.9079318046569824,0.9187781810760498
tsn,0.9468942880630493,,0.9002344012260437,0.9447886347770691
twi,0.9447404146194458,,0.9219691157341003,0.9734929203987122
wol,0.9391730427742004,,0.9155218005180359,0.924668550491333
xho,0.9169430732727051,,0.8852038383483887,0.9509766697883606
yor,0.8268261551856995,,0.8409827351570129,0.9471297860145569
zul,0.9301124811172485,,0.8987388014793396,0.9646245837211609
