,LOC,PER,DATE,ORG
bam,0.9776234030723572,,,0.9678561091423035
bbj,0.9570091962814331,0.9302822947502136,,0.9804536700248718
ewe,,0.92087322473526,,0.9833438992500305
fon,0.9738823175430298,0.9259441494941711,,0.9798672795295715
hau,0.9713405966758728,0.9209409952163696,,0.9764146208763123
ibo,0.9747934937477112,,,0.9842056035995483
kin,0.972196638584137,0.9139143228530884,,0.9843335151672363
lug,,0.9097427129745483,,0.9723711609840393
luo,,0.9151269197463989,,0.9643512964248657
mos,0.9699768424034119,0.9225356578826904,,0.9825949668884277
nya,0.9786538481712341,0.9285148978233337,,0.9809308052062988
pcm,0.9755566716194153,0.9312506318092346,,0.9483317732810974
sna,0.9809019565582275,0.9231184720993042,,0.9828254580497742
swa,0.972542405128479,0.9232484102249146,,0.9694659113883972
tsn,0.9713446497917175,,,0.9769903421401978
twi,0.9784383773803711,0.9324485063552856,,0.9880428314208984
wol,0.9722723960876465,0.9138146042823792,,0.9790511131286621
xho,0.9750639796257019,0.9274987578392029,,
yor,0.9590653777122498,,,0.9814929962158203
zul,0.9713473916053772,0.9219016432762146,,
