,DATE,ORG,LOC,PER,Mean
luo,0.66101927,0.84910035,0.8151064,0.8919797,0.80430144
lug,0.6609922,0.86930436,0.7529357,0.916469,0.7999253
kin,0.6395864,0.84935534,0.77222157,0.8903749,0.78788453
tsn,0.68933016,0.86197704,0.8107867,0.7630426,0.78128415
wol,0.6703896,0.82648826,0.77715456,0.829832,0.77596617
ewe,0.70037246,0.8145826,0.7801091,0.8020376,0.7742754
pcm,0.64378685,0.81452245,0.7826948,0.8524681,0.773368
sna,0.66895854,0.884022,0.75936687,0.75518554,0.76688325
mos,0.66001725,0.8114041,0.7571557,0.8332447,0.7654555
swa,0.6590836,0.8204459,0.77125895,0.80406415,0.7637131
hau,0.6929493,0.7710794,0.7872478,0.8002375,0.7628785
nya,0.653981,0.8802874,0.78183097,0.70827454,0.7560935
ibo,0.62436694,0.8075607,0.73075426,0.848422,0.752776
yor,0.6526898,0.7939626,0.75889355,0.77368855,0.7448086
twi,0.6364928,0.7938692,0.74657816,0.8002417,0.7442955
bam,0.69386655,0.76956207,0.74227095,0.7691488,0.74371207
zul,0.77685875,0.7447185,0.63463134,0.70133305,0.7143854
bbj,0.62377316,0.7525281,0.6835931,0.78811157,0.71200144
xho,0.72220844,0.6953263,0.74856836,0.6726283,0.7096828
fon,0.63725245,0.697924,0.7061595,0.6996823,0.6852546
