,ORG,LOC,DATE,PER
bam,0.7059826254844666,0.7712201476097107,0.8291533589363098,0.6504373550415039
bbj,0.7551639676094055,0.5654274225234985,0.7161710262298584,0.6996386051177979
ewe,0.8266936540603638,0.8351072072982788,0.6255635619163513,0.6700456142425537
fon,0.8121194243431091,0.7072492837905884,0.7487097978591919,0.6658623218536377
hau,0.8564404845237732,0.6873608827590942,0.894598126411438,0.6695387363433838
ibo,0.8813207149505615,0.7574948072433472,0.918117344379425,0.6930826306343079
kin,0.88430255651474,0.8999106884002686,0.9081212282180786,0.65703284740448
lug,0.8259938955307007,0.9057409167289734,0.8279584646224976,0.6901605725288391
luo,0.8629204034805298,0.8744467496871948,0.8750777840614319,0.6944475769996643
mos,0.8124563097953796,0.7568355798721313,0.6444882750511169,0.6694663166999817
nya,0.8840238451957703,0.8510755896568298,0.890586793422699,0.6921873092651367
pcm,0.8331125974655151,0.8486062288284302,0.6658870577812195,0.6997691988945007
sna,0.8811892867088318,0.7693312764167786,0.9181472659111023,0.6878443956375122
swa,0.8341865539550781,0.9103550910949707,0.8259276747703552,0.6309255957603455
tsn,0.843865692615509,0.8088310956954956,0.9016744494438171,0.6633685827255249
twi,0.913848340511322,0.8623097538948059,0.8285131454467773,0.698290228843689
wol,0.8492398858070374,0.7295569777488708,0.8754425048828125,0.6792160272598267
xho,0.8485689163208008,0.6672266125679016,0.9210200905799866,0.6821287274360657
yor,0.7819202542304993,0.5726898908615112,0.7223175168037415,0.5422071218490601
zul,0.8760868906974792,0.7757551670074463,0.8885932564735413,0.6713305711746216
