,ORG,DATE,PER,LOC
bam,0.8927106261253357,,,0.9237768054008484
bbj,0.9248239398002625,,,0.8281495571136475
ewe,0.9202612638473511,,0.9489827752113342,
fon,0.9473458528518677,,0.9404242634773254,0.9134860634803772
hau,0.9541158080101013,,0.9643653035163879,0.8901801109313965
ibo,0.9463684558868408,,,0.9037865996360779
kin,0.9267866611480713,,0.956051766872406,0.9184741377830505
lug,0.9563875794410706,,0.9543601870536804,
luo,0.9232596755027771,,0.9527318477630615,
mos,0.9480224847793579,,0.9457191228866577,
nya,0.9410024285316467,,,0.9123278260231018
pcm,,,0.9571833610534668,0.908157467842102
sna,,,0.9613639116287231,0.9095414876937866
swa,0.8769312500953674,,0.9630159139633179,0.9265197515487671
tsn,0.9421961307525635,,,0.8918753862380981
twi,0.96293044090271,,0.971606433391571,0.9252772927284241
wol,0.9257329106330872,,0.9588210582733154,0.9040185213088989
xho,,,0.9155527353286743,0.8771830797195435
yor,0.9325709342956543,,,0.7915312051773071
zul,,,,0.8858335614204407
