,DATE,ORG,LOC,PER
bam,,0.9652615189552307,0.9814884066581726,0.9901303648948669
bbj,,0.9856182932853699,0.9637430310249329,0.9884390234947205
ewe,,0.9913895726203918,0.973863959312439,0.9875175952911377
fon,,0.9863910675048828,0.9778963327407837,0.9847714900970459
hau,,0.9814713597297668,0.9571888446807861,0.9892295598983765
ibo,,0.9897058010101318,0.9580796957015991,0.9919150471687317
kin,,0.9882344603538513,0.9816230535507202,0.9855373501777649
lug,,0.9790046811103821,0.9846628904342651,0.981043815612793
luo,,0.9730610251426697,0.9826869964599609,0.984772264957428
mos,,0.9889463186264038,0.9773557782173157,0.9863671660423279
nya,,0.9873678684234619,0.9792121648788452,0.993137776851654
pcm,,0.9762741327285767,0.9787181615829468,0.9881784915924072
sna,,0.9851328134536743,0.9672099351882935,0.9818457961082458
swa,,0.9738252758979797,0.9812802672386169,0.9861656427383423
tsn,,0.988165020942688,0.9739928841590881,0.9856656789779663
twi,,0.9919711351394653,0.9780054092407227,0.9896469116210938
wol,,0.9884663820266724,0.9667457938194275,0.9918248653411865
xho,,0.9845544099807739,0.9728851914405823,0.9707101583480835
yor,,0.9857683777809143,0.9475229382514954,0.9827298521995544
zul,,0.987432599067688,0.9761126637458801,0.9819706678390503
