,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.8965345025062561,0.4548974335193634,0.8963990807533264,0.9704052209854126,0.24328958988189697,0.9703656435012817,0.9516880512237549,0.31084367632865906,0.9516267776489258,,,,
bbj,0.9169853925704956,0.4074663519859314,0.9168776869773865,0.9480876922607422,0.3222188949584961,0.948018491268158,0.9602792263031006,0.28185343742370605,0.9602263569831848,,,,
ewe,0.9240210056304932,0.3898179531097412,0.9239218235015869,0.9684150218963623,0.25133630633354187,0.9683721661567688,0.9546877145767212,0.30103862285614014,0.9546298980712891,,,,
fon,0.910742998123169,0.4225093424320221,0.9106296896934509,0.9713494777679443,0.2393764704465866,0.9713103175163269,0.968698263168335,0.2502063810825348,0.9686573147773743,,,,
hau,0.8954717516899109,0.4572272002696991,0.8953372240066528,0.9852309226989746,0.17186665534973145,0.9852105975151062,0.9866625070571899,0.16332349181175232,0.9866450428962708,,,,
ibo,,,,0.9869496822357178,0.16155852377414703,0.9869316816329956,0.9701260924339294,0.24443335831165314,0.9700861573219299,,,,
kin,0.9044440984725952,0.4371635317802429,0.9043201208114624,0.9842339158058167,0.17757351696491241,0.9842124581336975,0.9782611131668091,0.20851276814937592,0.9782325029373169,,,,
lug,0.915442705154419,0.4112357795238495,0.9153319001197815,,,,0.9865587949752808,0.16395963728427887,0.986540675163269,,,,
luo,0.9387109279632568,0.3501112759113312,0.9386314153671265,,,,0.9626973271369934,0.2731398046016693,0.9626471996307373,,,,
mos,0.9009763598442078,0.44502514600753784,0.9008510708808899,0.9758481383323669,0.2197817713022232,0.9758152961730957,0.9755900502204895,0.22095176577568054,0.9755579233169556,,,,
nya,0.9389539957046509,0.3494166135787964,0.9388740062713623,0.9832354187965393,0.18311035633087158,0.9832125306129456,0.9701924920082092,0.24416066706180573,0.9701536297798157,,,,
pcm,0.9257482290267944,0.38536176085472107,0.9256511926651001,0.9418197274208069,0.3411163091659546,0.9417398571968079,0.959401547908783,0.28495025634765625,0.9593472480773926,,,,
sna,0.9054645299911499,0.4348231554031372,0.9053428173065186,0.9672911763191223,0.25576868653297424,0.9672464728355408,0.9803090691566467,0.19844810664653778,0.9802829623222351,,,,
swa,0.9351959824562073,0.360011488199234,0.9351111650466919,0.949038028717041,0.31925588846206665,0.9489687085151672,0.9360723495483398,0.35756897926330566,0.9359859228134155,,,,
tsn,,,,0.9793822765350342,0.20306608080863953,0.9793541431427002,0.9738320112228394,0.228770449757576,0.9737971425056458,,,,
twi,0.9028308391571045,0.4408383071422577,0.9027052521705627,0.975775420665741,0.22011178731918335,0.9757422804832458,0.9835125803947449,0.1815890520811081,0.9834912419319153,,,,
wol,0.9435124397277832,0.3361178934574127,0.9434386491775513,0.9849395155906677,0.1735537052154541,0.9849189519882202,0.9794775247573853,0.20259542763233185,0.9794503450393677,,,,
xho,0.9227288961410522,0.39311885833740234,0.9226289987564087,0.9809435606002808,0.19522547721862793,0.9809176921844482,0.9589397311210632,0.2865665853023529,0.958885669708252,,,,
yor,,,,0.9683392643928528,0.25163722038269043,0.9682976603507996,0.9605646133422852,0.28083983063697815,0.9605131149291992,,,,
zul,0.9358873963356018,0.35808563232421875,0.9358034133911133,0.9763699173927307,0.21739453077316284,0.9763376116752625,0.9734528064727783,0.23042261600494385,0.9734171628952026,,,,
