,PER,LOC,ORG,DATE,SWD_mean
bam,,,0.0029688115884027866,,0.0029688115884027866
bbj,,,0.002259351125530884,,0.002259351125530884
ewe,0.003774650664126966,,0.002226191449722137,,0.0030004210569245515
fon,0.003243394042328873,,,,0.003243394042328873
hau,0.003344790608025505,,0.005168987692286464,,0.004256889150155985
ibo,,0.0026034722603753835,0.002255563659446125,,0.002429517959910754
kin,,,0.0026802093841524766,,0.0026802093841524766
lug,0.005245630332410656,,0.0028564155204549024,,0.004051022926432779
luo,0.003930381934878824,,0.002578137927798707,,0.0032542599313387655
mos,0.0034816671854969172,,0.002188806178082814,,0.0028352366817898655
nya,,,0.002307162712781974,,0.002307162712781974
pcm,0.003937193607271183,0.0027481203060233383,,,0.003342656956647261
sna,0.003997120952590194,0.0026807779647697316,,,0.003338949458679963
swa,0.0037114127990207635,,,,0.0037114127990207635
tsn,,0.0029571276008937275,0.0027074071391552934,,0.0028322673700245105
twi,0.0032499320418537536,,,,0.0032499320418537536
wol,,,0.002031704294040537,,0.002031704294040537
xho,0.003693033361741982,0.0028572988867381355,,,0.0032751661242400587
yor,,0.003303038913372802,0.0026016500141849974,,0.0029523444637789
zul,,0.0026809759092429886,,,0.0026809759092429886
