,ORG,LOC,DATE,PER,Mean
tsn,0.9998744130134583,0.999859094619751,,,0.9998667538166046
kin,0.9998597502708435,0.9998936057090759,,0.9994840025901794,0.9998615750899682
sna,0.9998387098312378,0.9998833537101746,,0.9992274045944214,0.9998366614946952
wol,0.9998444318771362,0.9998319149017334,,0.9993807673454285,0.9998205808492807
nya,0.9998803734779358,0.9997519850730896,,0.9994769096374512,0.9998031304432795
ewe,0.9998255968093872,,,0.9994786977767944,0.9997999005847507
xho,,0.99980628490448,,0.9994717240333557,0.99978150261773
lug,0.9997863173484802,,,0.9994978904724121,0.9997649523946974
twi,0.9999142289161682,0.9996877908706665,,0.9987835884094238,0.9997618782978791
zul,,0.9997715353965759,,0.9995020031929016,0.9997515700481556
bbj,0.99982750415802,0.9996713399887085,,,0.9997494220733643
yor,0.9998413920402527,0.9996393322944641,,,0.9997403621673584
mos,0.9997663497924805,,,0.9993587136268616,0.9997361545209531
bam,0.9995958805084229,0.9998596906661987,,,0.9997277855873108
ibo,0.9996379613876343,0.9997690320014954,,,0.9997034966945648
luo,0.9997113943099976,,,0.9994993805885315,0.999695689589889
swa,0.9994243383407593,0.9998849630355835,,0.9994791150093079,0.9996478993159074
hau,0.9992468953132629,0.9998758435249329,,0.9970141053199768,0.9994633977229779
pcm,,0.9994876384735107,,0.9983840584754944,0.999405891806991
fon,0.999835193157196,0.9952501654624939,,0.999412477016449,0.9976145946062528
