,PER,DATE,LOC,ORG,Mean
kin,0.8275067806243896,0.8012502789497375,0.9136244654655457,0.9457048773765564,0.8856960877873539
luo,0.810824990272522,0.8244919776916504,0.9079636931419373,0.9288066625595093,0.8855921022253099
hau,0.8326466679573059,0.8182938098907471,0.8941072821617126,0.9352200031280518,0.8815620572738398
twi,0.8346730470657349,0.7653732895851135,0.923742949962616,0.9577142596244812,0.8813434254889395
ibo,0.8088708519935608,0.7845733165740967,0.9202560186386108,0.9378770589828491,0.8794897533709707
nya,0.8418536186218262,0.7851661443710327,0.9021850228309631,0.9459267854690552,0.8770552842445622
zul,0.8156978487968445,0.8072928786277771,0.8884856700897217,0.9316311478614807,0.8746246952636569
lug,0.8050549626350403,0.7789104580879211,0.9018322229385376,0.9423460960388184,0.8730039460207123
sna,0.8203865885734558,0.7723793983459473,0.894464910030365,0.9328194260597229,0.865649323447857
tsn,0.8299897313117981,0.8067119717597961,0.8843664526939392,0.899825394153595,0.8629749027732151
swa,0.8246297836303711,0.8038778305053711,0.8806679844856262,0.8971284031867981,0.8598535964691562
wol,0.8413829803466797,0.7809895873069763,0.8793954253196716,0.9098610281944275,0.8564473920398288
bam,0.815004825592041,0.7826896905899048,0.9251709580421448,0.8578914403915405,0.854461561620625
mos,0.8175678849220276,0.7302457094192505,0.9031968116760254,0.9276372790336609,0.8529849258902805
xho,0.7955334186553955,0.7607223391532898,0.8631883859634399,0.9198275804519653,0.846885722447065
pcm,0.8223266005516052,0.7521775960922241,0.9011256694793701,0.8815597295761108,0.8445106507126802
fon,0.8029095530509949,0.6926995515823364,0.8974789977073669,0.9215201139450073,0.8365598811822779
ewe,0.8248277306556702,0.6894733309745789,0.877856969833374,0.9246707558631897,0.8305525230426415
yor,0.7776939868927002,0.7579529881477356,0.823579728603363,0.9016404747962952,0.8267434087454104
bbj,0.8184560537338257,0.734282910823822,0.8092319369316101,0.896406352519989,0.8134080272874021
