,ORG,LOC,PER,DATE,Mean
lug,0.8056155,0.84871423,0.69065595,0.8079196,0.78822637
kin,0.7796682,0.8176017,0.68823534,0.79632044,0.77045643
nya,0.77672446,0.8042146,0.6869016,0.78947186,0.7643281
sna,0.7769166,0.8085618,0.6754319,0.79290456,0.7634537
luo,0.76886153,0.8059443,0.68461055,0.7883012,0.7619294
tsn,0.76681596,0.76602924,0.68370444,0.78745675,0.7510016
wol,0.74611443,0.78563553,0.6828071,0.7720134,0.74664265
zul,0.7404514,0.7694192,0.6822142,0.7556631,0.736937
twi,0.7382572,0.7535107,0.68442804,0.7460441,0.73056
ibo,0.7284608,0.75717926,0.67659813,0.7599965,0.73055863
bam,0.7202004,0.75073826,0.68358946,0.75819093,0.72817975
xho,0.7293683,0.7642398,0.6787228,0.73724777,0.72739464
ewe,0.7360269,0.7429337,0.6778915,0.7442391,0.7252728
pcm,0.7407037,0.7444662,0.681476,0.7201009,0.7216867
mos,0.7266458,0.74326915,0.6772748,0.7332527,0.7201106
swa,0.73552305,0.7204616,0.68576974,0.7217745,0.71588224
hau,0.73252404,0.7438716,0.6790836,0.6959944,0.7128684
yor,0.71455836,0.7182349,0.67551875,0.72722894,0.70888525
bbj,0.69595784,0.7029004,0.6712127,0.70349646,0.69339186
fon,0.70625556,0.7017137,0.67020893,0.68874097,0.6917298
