,LOC,DATE,PER,ORG,Mean
nya,,,,0.9743279814720154,0.9743279814720154
kin,,,,0.9717855453491211,0.9717855453491211
wol,,,,0.970422089099884,0.970422089099884
zul,0.960709273815155,,,,0.960709273815155
ibo,0.9723014831542969,,,0.9421324133872986,0.9572169482707977
tsn,0.9565783143043518,,,0.9442198276519775,0.9503990709781647
yor,0.9397835731506348,,,0.9550445079803467,0.9474140405654907
lug,,,0.9168556928634644,0.974901020526886,0.9458783566951752
luo,,,0.9071858525276184,0.9675998687744141,0.9373928606510162
bam,,,,0.9373186230659485,0.9373186230659485
mos,,,0.9032177925109863,0.9605091214179993,0.9318634569644928
sna,0.9800660610198975,,0.8833895921707153,,0.9317278265953064
ewe,,,0.8956408500671387,0.9582699537277222,0.9269554018974304
xho,0.9748522043228149,,0.8742409348487854,,0.9245465695858002
twi,,,0.9240352511405945,,0.9240352511405945
bbj,,,,0.9145991206169128,0.9145991206169128
hau,,,0.9141499996185303,0.9111341834068298,0.91264209151268
pcm,0.8965213894844055,,0.9136152863502502,,0.9050683379173279
swa,,,0.8967114686965942,,0.8967114686965942
fon,,,0.8735138773918152,,0.8735138773918152
