,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9290503859519958,0.37669578194618225,0.9289197325706482,0.9757083654403687,0.22041556239128113,0.9756646752357483,0.9464317560195923,0.3273172676563263,0.9463353157043457,,,,
bbj,0.9280142784118652,0.37943539023399353,0.9278804063796997,0.9575781226158142,0.2912793457508087,0.9575008153915405,0.9617152214050293,0.2767123579978943,0.96164470911026,,,,
ewe,0.9312765002250671,0.3707386553287506,0.9311470985412598,0.9671543836593628,0.2563033401966095,0.9670938849449158,0.9761880040168762,0.21822983026504517,0.9761439561843872,,,,
fon,0.9228516817092896,0.3928062617778778,0.922710120677948,0.9726399779319763,0.23392285406589508,0.972590446472168,0.9613797664642334,0.2779221534729004,0.9613087773323059,,,,
hau,0.9385979175567627,0.3504347503185272,0.9384847283363342,0.9792149662971497,0.2038879692554474,0.979176938533783,0.9827437996864319,0.18577538430690765,0.9827131628990173,,,,
ibo,0.93730229139328,0.35411256551742554,0.937185525894165,0.982501208782196,0.18707557022571564,0.9824695587158203,0.9783022403717041,0.20831556618213654,0.9782626032829285,,,,
kin,0.9297381639480591,0.3748649060726166,0.9296095967292786,0.9848787188529968,0.1739041805267334,0.9848511219024658,0.9902671575546265,0.13952043652534485,0.9902491569519043,,,,
lug,0.9459410905838013,0.32881277799606323,0.9458392262458801,0.9707930684089661,0.24168932437896729,0.9707391262054443,0.991898238658905,0.1272934526205063,0.9918834567070007,,,,
luo,0.9328703284263611,0.36641424894332886,0.9327446222305298,0.9791510105133057,0.2042015641927719,0.9791128635406494,0.9822121858596802,0.18861514329910278,0.982179582118988,,,,
mos,0.9309184551239014,0.37170326709747314,0.9307900071144104,0.9777838587760925,0.2107899934053421,0.9777433276176453,0.980655312538147,0.19669605791568756,0.9806200861930847,,,,
nya,0.9431440234184265,0.33721187710762024,0.9430370926856995,0.9809870719909668,0.19500161707401276,0.9809529185295105,0.9904038310050964,0.1385369449853897,0.9903862476348877,,,,
pcm,0.9229461550712585,0.39256608486175537,0.9227975010871887,0.9511752128601074,0.31248921155929565,0.9510847330093384,0.960874080657959,0.27973616123199463,0.9608017802238464,,,,
sna,0.9345024228096008,0.3619326949119568,0.9343809485435486,0.9864612817764282,0.16455218195915222,0.9864369034767151,0.9884980916976929,0.1516711413860321,0.9884770512580872,,,,
swa,0.9308292269706726,0.3719428777694702,0.9307000637054443,0.9595380425453186,0.2844716012477875,0.9594630002975464,0.9667320847511292,0.2579452395439148,0.9666701555252075,,,,
tsn,0.9386547207832336,0.3502720594406128,0.9385403990745544,0.975836455821991,0.21983395516872406,0.9757927060127258,0.984258770942688,0.17743395268917084,0.9842296838760376,,,,
twi,0.9322342276573181,0.3681463301181793,0.9321088194847107,0.9806391596794128,0.19677837193012238,0.9806037545204163,0.9845045208930969,0.17604318261146545,0.9844762682914734,,,,
wol,0.9342291355133057,0.36268678307533264,0.9341078400611877,0.97550368309021,0.2213425636291504,0.9754592180252075,0.9770655035972595,0.21417078375816345,0.9770236611366272,,,,
xho,0.9091310501098633,0.4263073205947876,0.9089628458023071,0.9811626076698303,0.19410014152526855,0.9811283946037292,0.9855319261550903,0.17010748386383057,0.9855054020881653,,,,
yor,0.9269892573356628,0.3821277618408203,0.9268530011177063,0.9575566053390503,0.2913534641265869,0.9574793577194214,0.9677050113677979,0.2541459798812866,0.9676459431648254,,,,
zul,0.9357023239135742,0.3586024045944214,0.9355822205543518,0.9741300940513611,0.227463960647583,0.9740825891494751,0.9899040460586548,0.1420990228652954,0.9898853898048401,,,,
