,ORG,LOC,DATE,PER,Mean
twi,0.9847654700279236,0.9678367376327515,,0.9857125282287598,0.9794382452964783
ewe,0.974052369594574,,,0.9787442684173584,0.9763983190059662
mos,0.977645754814148,,,0.9749802350997925,0.9763129949569702
nya,0.9732744097709656,0.9652694463729858,,0.9853196144104004,0.9746211568514506
lug,0.9645674824714661,,,0.980974018573761,0.9727707505226135
sna,0.9755059480667114,0.9644381999969482,,0.9774284958839417,0.9724575479825338
wol,0.9753131866455078,0.9550468325614929,,0.9865582585334778,0.9723060925801595
fon,0.9813587665557861,0.9563965201377869,,0.976571261882782,0.971442182858785
tsn,0.9767457246780396,0.9614755511283875,,,0.9691106379032135
zul,,0.9572605490684509,,0.9775071144104004,0.9673838317394257
hau,0.9764127731323242,0.9441043734550476,,0.9799363613128662,0.966817835966746
kin,0.9643234014511108,0.9546507000923157,,0.9799559712409973,0.9663100242614746
bam,0.9589153528213501,0.9700705409049988,,,0.9644929468631744
pcm,0.9465214610099792,0.9619535207748413,,0.9826459288597107,0.9637069702148438
luo,0.959235668182373,,,0.9673363566398621,0.9632860124111176
swa,0.9533349871635437,0.9529482126235962,,0.9819493889808655,0.9627441962560018
xho,,0.9568842053413391,,0.9666582942008972,0.9617712497711182
ibo,0.9767943024635315,0.9450345039367676,,,0.9609144032001495
bbj,0.9759822487831116,0.9392149448394775,,,0.9575985968112946
yor,0.9774454236030579,0.9226290583610535,,,0.9500372409820557
