,ORG,DATE,LOC,PER,Mean
kin,0.9458064,0.91461235,0.9401762,0.779035,0.8949075
lug,0.95656425,0.87825453,0.9826795,0.7348748,0.88809323
luo,0.95451194,0.89014786,0.9441037,0.7548831,0.88591164
twi,0.95151377,0.87991965,0.9203361,0.75149083,0.8758151
swa,0.95563245,0.8465788,0.936545,0.75970876,0.87461627
ibo,0.938062,0.9240862,0.891278,0.73464286,0.87201726
tsn,0.950837,0.9008613,0.847792,0.7753797,0.86871755
nya,0.9555471,0.8693141,0.86427355,0.7340924,0.85580677
sna,0.9367809,0.9412743,0.83675873,0.6800855,0.84872484
wol,0.9364745,0.8921438,0.7995273,0.7631264,0.847818
xho,0.8838948,0.9613646,0.76578814,0.77169645,0.84568596
fon,0.9408227,0.856194,0.8428527,0.74129856,0.845292
hau,0.92240095,0.9153531,0.79343903,0.74958587,0.84519476
bam,0.8978685,0.8516021,0.8959872,0.72844416,0.84347546
zul,0.9243635,0.8889752,0.83555865,0.71948653,0.842096
ewe,0.9350228,0.7481588,0.9305111,0.75362676,0.8418299
mos,0.9413552,0.78185385,0.818429,0.74246764,0.82102644
pcm,0.9279267,0.6881802,0.9097955,0.75295424,0.8197142
bbj,0.8796483,0.77871865,0.71908146,0.76458263,0.78550774
yor,0.81045175,0.830816,0.6848177,0.64246446,0.7421375
