,LOC,PER,DATE,ORG,Mean
kin,0.98897649025628,0.9924541607557625,0.977919130258206,0.9810840400552965,0.9851084553313862
nya,0.9900303909266385,0.9932095010737111,0.9672971431610594,0.9866628901686122,0.9842999813325053
sna,0.987486267173376,0.9849649688457849,0.9783787606439943,0.9828472100268069,0.9834193016724906
lug,0.9839867224453008,0.9944505490400504,0.9836280249016172,0.9705552632086206,0.9831551398988972
zul,0.9788671000933633,0.982378371475494,0.9703357435772614,0.982344957882122,0.9784815432570602
xho,0.9836275987228477,0.9688338690295061,0.9800387572018752,0.9811527646654742,0.9784132474049257
luo,0.9854240255992803,0.9846496482832132,0.9675027809036356,0.9718073537332053,0.9773459521298336
hau,0.9782920945703895,0.9819277956045682,0.9688913314543515,0.978155644957888,0.9768167166467994
tsn,0.9768243096153099,0.9834761673217964,0.9743441186293517,0.9702975698969558,0.9762355413658534
twi,0.9769201296722192,0.9782303341721612,0.9659056887367281,0.9810042586200056,0.9755151028002786
wol,0.9728046896771283,0.9807876137621657,0.9608453782860839,0.9781719981555226,0.9731524199702251
ibo,0.9824991213092628,0.9873143416795344,0.9700415784073302,0.9332453170009976,0.9682750895992811
swa,0.9742105152274947,0.983862923345122,0.9467588651110219,0.964377745959731,0.9673025124108424
mos,0.9710472101567255,0.9797500643198652,0.9446928059105073,0.9667910820577748,0.9655702906112182
bam,0.970279207074899,0.9781523937721558,0.96765865022481,0.9458083247623714,0.9654746439585591
ewe,0.9630946000080295,0.9640854501969529,0.9545094433689509,0.9592528739937459,0.9602355918919199
yor,0.9545631384773157,0.9601722483753785,0.936726140674114,0.9565533086794744,0.9520037090515706
pcm,0.9444351079587535,0.9691356396716491,0.8904769682531564,0.9304514175785532,0.933624783365528
fon,0.9503110012765554,0.9572024012395218,0.8599134636828218,0.9290721246990675,0.9241247477244916
bbj,0.8814956104475498,0.9491900477327727,0.9218411617443463,0.9275223456428303,0.9200122913918749
