,ORG,LOC,PER,DATE
bam,0.983622670173645,0.9804102778434753,0.9852023124694824,0.9751254916191101
bbj,0.9726230502128601,0.9384287595748901,0.978705644607544,0.9686128497123718
ewe,0.9870415329933167,0.973210334777832,0.985893964767456,0.9614019989967346
fon,0.9795762896537781,0.9694264531135559,0.974976658821106,0.9377139806747437
hau,0.9859326481819153,0.9773626327514648,0.9874646067619324,0.9812250733375549
ibo,0.977738082408905,0.9771601557731628,0.9927279949188232,0.987586259841919
kin,0.9896357655525208,0.9909268617630005,0.9935482144355774,0.9807652235031128
lug,0.9919767379760742,0.98405522108078,0.9967737197875977,0.9790079593658447
luo,0.9809470176696777,0.9868960976600647,0.9850804209709167,0.9826768636703491
mos,0.9899758100509644,0.9845668077468872,0.9916878938674927,0.9702895283699036
nya,0.9913622140884399,0.9817091226577759,0.993679940700531,0.9788504242897034
pcm,0.9727203845977783,0.9711689352989197,0.9844838976860046,0.9487535953521729
sna,0.9916156530380249,0.988346517086029,0.9930205941200256,0.9701757431030273
swa,0.9779360890388489,0.9759815335273743,0.9907791614532471,0.9724987745285034
tsn,0.9766638278961182,0.9661007523536682,0.9808076024055481,0.9845529794692993
twi,0.9888741374015808,0.9867691397666931,0.9910712242126465,0.9697616100311279
wol,0.9842382073402405,0.9690231680870056,0.9844750761985779,0.9725725054740906
xho,0.9915428161621094,0.9856510758399963,0.9777683019638062,0.9883279204368591
yor,0.9767634868621826,0.9362027645111084,0.9652348160743713,0.9687128067016602
zul,0.9928211569786072,0.9722132086753845,0.9886244535446167,0.984642505645752
