,DATE,PER,LOC,ORG,Mean
kin,0.92871857,0.6673866,0.9025972,0.926417,0.85627985
lug,0.9141766,0.6637786,0.89641106,0.93884903,0.8533038
xho,0.94343656,0.6079956,0.86463153,0.89857125,0.82865876
sna,0.93586624,0.5788124,0.88315165,0.9119375,0.827442
nya,0.88917327,0.6522206,0.83246535,0.9255099,0.8248423
luo,0.856826,0.6506996,0.87453437,0.8826955,0.8161889
zul,0.86224216,0.64421254,0.83134294,0.8825677,0.8050913
twi,0.8516948,0.6199248,0.84881616,0.8947774,0.8038033
wol,0.84863603,0.64039254,0.8279295,0.87405074,0.79775214
swa,0.8476613,0.6516309,0.8095192,0.87087965,0.7949227
tsn,0.877323,0.62906235,0.7785746,0.88889563,0.7934638
ibo,0.8745283,0.5832176,0.871555,0.8263564,0.7889143
hau,0.86930835,0.6257365,0.79540926,0.85150725,0.78549033
bam,0.8277043,0.5659159,0.8404942,0.8082591,0.7605934
ewe,0.7767434,0.5592753,0.7769143,0.82977545,0.7356771
pcm,0.6746896,0.6280166,0.7807401,0.8409116,0.7310895
mos,0.7274246,0.55054367,0.7617595,0.8492342,0.72224045
fon,0.71600294,0.560279,0.7513149,0.8222408,0.71245944
bbj,0.7177878,0.5800066,0.6773169,0.72882545,0.67598414
yor,0.7560473,0.5313372,0.6904527,0.7058267,0.67091596
