,DATE,PER,ORG,LOC,Mean
luo,0.903207215799678,0.968040042621327,0.9611656529821295,0.9409777822528742,0.9433476734140022
lug,0.9067202037615022,0.9859824232627212,0.939166817736877,0.9369578610937833,0.942206826463721
twi,0.9037900082564573,0.9672039992034858,0.96557553768499,0.9197318199661022,0.9390753412777588
kin,0.9201680063299447,0.9505582973835645,0.9538577626488196,0.9259801641657498,0.9376410576320197
ibo,0.9456409747892883,0.9587642710713518,0.9509275940650859,0.8906822037559821,0.936503760920427
swa,0.8959014553731222,0.960528809661449,0.9465223517953677,0.9384815711466984,0.9353585469941593
tsn,0.9193307265419786,0.956182051987615,0.9492131383540506,0.8710859909747015,0.9239529769645864
nya,0.8871381224168793,0.9415167274491874,0.966202564234199,0.8866014866938006,0.9203647251985165
sna,0.9425920858843698,0.9448763632971198,0.9473043364211705,0.8461888939422714,0.9202404198862328
zul,0.9058325563464863,0.9127249411628486,0.9496975957357785,0.8724617560534872,0.9101792123246502
xho,0.9477089987727251,0.9349086498737982,0.9314176855575369,0.7850254321326297,0.8997651915841726
hau,0.9344303081790779,0.9487433645772884,0.9302767348474955,0.7807511797457362,0.8985503968373995
pcm,0.7786212956280911,0.9699808609751206,0.9371145344411991,0.9083725916978878,0.8985223206855746
wol,0.9144975528985989,0.9384523884352948,0.9394922118140652,0.788081864193832,0.8951310043354477
ewe,0.7604188893783843,0.9446353685127674,0.9466696376893204,0.8879544942983135,0.8849195974696964
bam,0.8699162838572393,0.9287156554970742,0.8605563600096032,0.8426704899638187,0.8754646973319338
mos,0.8120863325570763,0.937466321614491,0.9337472454725203,0.8160344657406108,0.8748335913461746
fon,0.7748655917568495,0.9486506046545785,0.9190598327444425,0.771101624203618,0.8534194133398721
yor,0.814324061365883,0.8478083600382346,0.8935390688112823,0.6303960847212224,0.7965168937341556
bbj,0.7688788940818027,0.9564897305431854,0.8256264514923078,0.6019797124963733,0.7882436971534172
