,DATE,LOC,PER,ORG,Mean
lug,0.79842013,0.825318,0.87062657,0.8312863,0.8314128
kin,0.7859075,0.8013382,0.83287036,0.80617595,0.806573
nya,0.7962645,0.7911433,0.8331959,0.8002037,0.8052019
luo,0.78543967,0.78916776,0.8213608,0.7891184,0.7962717
sna,0.7930707,0.79421765,0.79441595,0.79587674,0.79439527
tsn,0.78122926,0.7590847,0.8153043,0.79151624,0.78678364
wol,0.7634718,0.7621409,0.7922527,0.7758522,0.7734294
zul,0.75107074,0.7693457,0.78328073,0.76755106,0.767812
ibo,0.7508106,0.75925297,0.7589809,0.73888254,0.75198174
pcm,0.7166314,0.7382221,0.7840508,0.74047935,0.744846
ewe,0.73088294,0.7392916,0.7590172,0.74953294,0.7446812
bam,0.7551401,0.7361449,0.75722843,0.729554,0.74451685
xho,0.7152212,0.7427087,0.7827889,0.7305866,0.74282634
twi,0.7275068,0.73860586,0.76083374,0.74356794,0.7426286
mos,0.7229881,0.72968227,0.7564435,0.74525356,0.73859185
hau,0.70071155,0.7336044,0.7656512,0.7210931,0.7302651
yor,0.71583724,0.7157761,0.73166734,0.7209349,0.7210539
swa,0.70489097,0.6990473,0.74610376,0.7171743,0.7168041
bbj,0.6959033,0.6960541,0.73299015,0.7022976,0.7068113
fon,0.6859179,0.6914513,0.72265375,0.71454567,0.70364213
