,DATE,ORG,LOC,PER,Mean
lug,0.5957755,0.67024726,0.69024146,0.7929764,0.6873101
twi,0.6170708,0.7176987,0.5934322,0.71389216,0.6605235
luo,0.6327395,0.7188126,0.5740239,0.67321306,0.64969724
ibo,0.6436318,0.67429453,0.5471244,0.71617883,0.6453074
swa,0.604845,0.7171793,0.5905784,0.65757865,0.64254534
kin,0.63342136,0.70124745,0.5739592,0.65679955,0.6413569
sna,0.6579587,0.6953949,0.49701267,0.68370175,0.63351697
tsn,0.62716097,0.70072997,0.5138713,0.6608794,0.6256604
nya,0.58601296,0.71714056,0.5233992,0.6732794,0.62495804
ewe,0.5567982,0.6690192,0.56142265,0.71025246,0.62437314
pcm,0.47758865,0.6675794,0.58527553,0.7566175,0.62176526
hau,0.6521076,0.61883414,0.47791106,0.70117277,0.6125064
zul,0.63757426,0.6397319,0.49488533,0.6675998,0.6099478
fon,0.58637905,0.65318704,0.49630412,0.6965795,0.60811245
xho,0.7092402,0.58704805,0.4537784,0.67904973,0.60727906
bam,0.6036081,0.5942098,0.5199336,0.704167,0.6054796
wol,0.6183807,0.6083992,0.46436986,0.69573796,0.59672195
mos,0.5519726,0.62926173,0.49153677,0.68644387,0.58980376
bbj,0.54709756,0.5979109,0.45546922,0.6899161,0.57259846
yor,0.580117,0.58509725,0.44528216,0.5628117,0.54332703
