,DATE,PER,ORG,LOC
bam,0.9999969601631165,0.9999979138374329,0.9999986886978149,0.999998152256012
bbj,0.999998152256012,0.9999977946281433,0.9999979138374329,0.9999920725822449
ewe,0.999993622303009,0.9999973177909851,0.9999993443489075,0.999998152256012
fon,0.999997079372406,0.9999944567680359,0.9999979138374329,0.9999974966049194
hau,0.9999959468841553,0.9999975562095642,0.9999968409538269,0.9999958872795105
ibo,0.9999988675117493,0.9999982118606567,0.9999989867210388,0.9999947547912598
kin,0.9999973773956299,0.9999980926513672,0.9999980926513672,0.9999991655349731
lug,0.9999947547912598,0.9999998211860657,0.999996542930603,0.999999463558197
luo,0.9999980926513672,0.9999956488609314,0.9999973773956299,0.9999994039535522
mos,0.9999967813491821,0.999991774559021,0.9999985694885254,0.9999970197677612
nya,0.9999911785125732,0.999998927116394,0.999997079372406,0.9999985098838806
pcm,0.9999811053276062,0.9999986290931702,0.9999954700469971,0.9999989867210388
sna,0.9999934434890747,0.9999984502792358,0.9999968409538269,0.9999945759773254
swa,0.99998539686203,0.9999991059303284,0.9999908804893494,0.9999997615814209
tsn,0.9999967813491821,0.9999978542327881,0.9999952912330627,0.9999987483024597
twi,0.9999980330467224,0.9999986290931702,0.9999988079071045,0.9999997615814209
wol,0.999998927116394,0.9999954104423523,0.9999968409538269,0.9999960064888
xho,0.9999968409538269,0.9999955892562866,0.9999970197677612,0.9999930262565613
yor,0.999998927116394,0.9999977350234985,0.9999982118606567,0.9999945163726807
zul,0.9999972581863403,0.9999952912330627,0.9999987483024597,0.9999950528144836
