,ORG,PER,DATE,LOC,Mean
lug,0.7465445,0.79423004,0.6669464,0.7794013,0.7467806
kin,0.7129445,0.7143017,0.67665875,0.7399838,0.7109722
nya,0.717057,0.7388911,0.66152465,0.7102608,0.7069334
sna,0.6962614,0.6902274,0.67783797,0.7091756,0.6933756
xho,0.67654026,0.6479859,0.68380755,0.6871744,0.673877
luo,0.67585444,0.70253325,0.62619567,0.68810636,0.6731724
tsn,0.6806126,0.6799197,0.6452901,0.65992504,0.66643685
zul,0.65650916,0.69834995,0.6295594,0.67937696,0.66594887
wol,0.6563238,0.6655998,0.6285064,0.65124214,0.65041804
ibo,0.63093066,0.67757213,0.6249807,0.66296893,0.6491131
hau,0.6414936,0.65911335,0.65392953,0.6367605,0.6478242
twi,0.663935,0.6658861,0.61223334,0.62785566,0.6424775
swa,0.63784707,0.67323947,0.6157103,0.63863146,0.64135706
ewe,0.63704467,0.6415538,0.60471916,0.6223481,0.62641644
bam,0.6114061,0.6420825,0.6255156,0.6259366,0.6262352
mos,0.6369584,0.65841466,0.6046123,0.59714943,0.6242837
pcm,0.6001614,0.6208005,0.5557318,0.5838441,0.59013444
yor,0.5939934,0.5954119,0.5734376,0.58919585,0.5880097
fon,0.59253675,0.6139943,0.5307673,0.57585824,0.57828915
bbj,0.5557315,0.58979785,0.55264777,0.5170022,0.55379486
