,ORG,DATE,PER,LOC,Mean
lug,0.70457184,0.6657859,0.7765882,0.7020792,0.7122563
nya,0.7167612,0.64949036,0.74094754,0.69676906,0.700992
kin,0.6995617,0.66626483,0.7028993,0.7116777,0.6951009
sna,0.6825397,0.67520595,0.69679385,0.6838988,0.68460953
luo,0.6701071,0.6156009,0.725521,0.6736214,0.6712126
twi,0.68608963,0.62568367,0.7180163,0.64841175,0.66955036
ibo,0.63008803,0.63190395,0.71041626,0.66886544,0.66031843
xho,0.6415125,0.68274784,0.6544653,0.6609556,0.65992033
swa,0.6398618,0.6148038,0.73037064,0.6415238,0.65664
tsn,0.6599529,0.6386374,0.67455953,0.6323048,0.6513636
zul,0.6399307,0.63058436,0.6727116,0.65850663,0.6504333
hau,0.6472614,0.64288104,0.66226625,0.6367391,0.64728695
wol,0.6345541,0.6214572,0.67764187,0.65037376,0.6460067
bam,0.6138778,0.61157125,0.6602279,0.6466135,0.6330726
mos,0.6313876,0.58623993,0.6773383,0.61794317,0.62822723
ewe,0.6449461,0.60259354,0.6581316,0.60599864,0.62791747
pcm,0.6194402,0.5263147,0.6890541,0.58732694,0.60553396
fon,0.61497205,0.5516975,0.6555166,0.5823535,0.6011349
yor,0.6001744,0.57527196,0.6065046,0.5813108,0.5908154
bbj,0.5807485,0.56159276,0.6412798,0.530486,0.57852674
