,LOC,PER,DATE,ORG
bam,,,,0.9704269766807556
bbj,0.9486437439918518,,,0.9855396747589111
ewe,,0.9831041097640991,,0.9854249358177185
fon,,0.980190634727478,,
hau,,0.9865915775299072,,0.974949300289154
ibo,0.9580796957015991,,,0.9819422364234924
kin,,,,0.9686343669891357
lug,,0.9627522230148315,,0.9715649485588074
luo,,0.967269778251648,,0.9701105356216431
mos,,0.9745676517486572,,0.986078679561615
nya,,,,0.9827839732170105
pcm,0.9787181615829468,0.9784883260726929,,
sna,0.9723897576332092,0.9772043228149414,,
swa,,0.9870529174804688,,
tsn,0.9747772216796875,,,0.9839559197425842
twi,,0.9874706864356995,,
wol,,,,0.9811457991600037
xho,0.9728414416313171,0.9683664441108704,,
yor,0.9475229382514954,,,0.9828149676322937
zul,0.9668848514556885,,,
