,ORG,PER,DATE,LOC
bam,0.9999853372573853,0.999980628490448,,0.9999900460243225
bbj,0.9999895095825195,0.9999920725822449,,0.9999856352806091
ewe,0.9999892711639404,0.9999925494194031,,0.9999900460243225
fon,0.9999904632568359,0.999993085861206,,0.9999905228614807
hau,0.9999909996986389,0.9999968409538269,,0.9999968409538269
ibo,0.9999923706054688,,,0.9999924302101135
kin,0.9999939203262329,0.9999974966049194,,0.9999978542327881
lug,0.9999973773956299,0.9999989867210388,,
luo,0.9999861121177673,0.9999958872795105,,
mos,0.9999890923500061,0.9999945163726807,,0.9999929070472717
nya,0.9999939799308777,0.9999977350234985,,0.9999942779541016
pcm,0.9999724626541138,0.9999908208847046,,0.9999919533729553
sna,0.9999920129776001,0.9999939799308777,,0.9999943375587463
swa,0.9999798536300659,0.9999940991401672,,0.9999946355819702
tsn,0.9999901056289673,,,0.9999969005584717
twi,0.9999932050704956,0.9999963045120239,,0.9999955892562866
wol,0.9999834895133972,0.9999966621398926,,0.999993622303009
xho,0.9999931454658508,0.999995231628418,,0.9999960660934448
yor,0.9999929666519165,,,0.9999898076057434
zul,0.9999948143959045,0.9999954104423523,,0.9999920725822449
