,DATE,PER,ORG,LOC
bam,0.9999898076057434,0.9999614953994751,0.9999885559082031,0.9999675154685974
bbj,0.9999921321868896,0.9999620914459229,0.9999937415122986,0.9999357461929321
ewe,0.9999831914901733,0.9999507069587708,0.9999944567680359,0.9999821782112122
fon,0.9999755024909973,0.999924898147583,0.9999870657920837,0.99996417760849
hau,0.9999897480010986,0.9999550580978394,0.9999954104423523,0.9999679923057556
ibo,0.9999964833259583,0.9999522566795349,0.999993622303009,0.9999681115150452
kin,0.9999949336051941,0.9999805688858032,0.9999934434890747,0.9999979734420776
lug,0.9999706149101257,0.9999666213989258,0.9999815821647644,0.9999880194664001
luo,0.9999957084655762,0.9999774098396301,0.9999899864196777,0.9999944567680359
mos,0.9999808669090271,0.9999611973762512,0.9999895691871643,0.9999650120735168
nya,0.9999721050262451,0.9999784827232361,0.9999831318855286,0.9999793767929077
pcm,0.9999240040779114,0.9999711513519287,0.9999738931655884,0.999992847442627
sna,0.9999881982803345,0.9999608397483826,0.9999826550483704,0.999972403049469
swa,0.9999306201934814,0.9999791979789734,0.9999699592590332,0.9999951124191284
tsn,0.9999927878379822,0.9999666810035706,0.9999718070030212,0.9999862909317017
twi,0.9999883770942688,0.9999653100967407,0.9999934434890747,0.9999946355819702
wol,0.9999937415122986,0.9999465346336365,0.9999834299087524,0.9999656677246094
xho,0.999994695186615,0.9999483823776245,0.9999862909317017,0.999956488609314
yor,0.9999920129776001,0.9999540448188782,0.9999954700469971,0.9999486804008484
zul,0.9999945163726807,0.9999565482139587,0.9999919533729553,0.9999780058860779
