,DATE,LOC,ORG,PER,Mean
lug,,,0.8450040221214294,0.5341907739639282,0.8117026026759829
nya,,,0.7789539098739624,,0.7789539098739624
kin,,,0.776417076587677,,0.776417076587677
ibo,,0.8256638646125793,0.7209368348121643,,0.7733003497123718
tsn,,0.796205997467041,0.7436211705207825,,0.7699135839939117
sna,,0.8068509101867676,,0.4252755045890808,0.7659678310155869
bam,,,0.7591822743415833,,0.7591822743415833
wol,,,0.7553825378417969,,0.7553825378417969
mos,,,0.7725663781166077,0.49430957436561584,0.7427531491432872
pcm,,0.7584757804870605,,0.5073915123939514,0.7315738946199417
bbj,,,0.7307077050209045,,0.7307077050209045
luo,,,0.7232378125190735,0.6020254492759705,0.7102507736001696
hau,,,0.7039603590965271,0.5883513689041138,0.6915736815759114
xho,,0.7053314447402954,,0.5255926847457886,0.6860737204551697
zul,,0.6829195618629456,,,0.6829195618629456
ewe,,,0.7002620100975037,0.5374380946159363,0.6828165905816215
yor,,0.5816354155540466,0.7103911638259888,,0.6460132896900177
twi,,,,0.6278412938117981,0.6278412938117981
swa,,,,0.5747947692871094,0.5747947692871094
fon,,,,0.48072484135627747,0.48072484135627747
