,LOC,ORG,PER,DATE,Mean
kin,0.99187154,0.98895025,0.9373709,0.9897454,0.97698456
nya,0.9901886,0.9911352,0.93711644,0.9848565,0.9758241
lug,0.9911651,0.986361,0.9343444,0.9884017,0.97506803
sna,0.98718834,0.9827996,0.9356423,0.9917886,0.9743547
xho,0.9814409,0.97786343,0.92488194,0.9925618,0.969187
zul,0.9811197,0.9763909,0.9361056,0.9820461,0.9689156
luo,0.985985,0.980247,0.9319219,0.97627485,0.9686072
twi,0.9805683,0.9833861,0.93486696,0.97553664,0.9685895
hau,0.97576195,0.97710276,0.93347627,0.98493195,0.9678182
wol,0.9788605,0.9759372,0.9356005,0.9781515,0.96713746
swa,0.97728485,0.98018175,0.93585205,0.973747,0.9667664
tsn,0.97283417,0.9829972,0.927345,0.98338157,0.96663946
ibo,0.9845659,0.96233916,0.92863286,0.977724,0.9633155
bam,0.979522,0.9643417,0.92109114,0.974909,0.95996594
mos,0.9688784,0.9704046,0.92740184,0.9596734,0.9565896
ewe,0.96175706,0.9712007,0.9126342,0.96750736,0.95327485
yor,0.94507575,0.95607567,0.9193258,0.9501064,0.9426459
fon,0.9474821,0.9587242,0.91664326,0.91950184,0.9355879
pcm,0.9507713,0.958187,0.9284261,0.89128876,0.93216825
bbj,0.8961051,0.9349042,0.91995996,0.93207765,0.92076176
