,DATE,ORG,PER,LOC,Mean
kin,0.9639487862586975,0.9777896404266357,0.9663320183753967,0.9612282514572144,0.9673246741294861
twi,0.9468545913696289,0.9755380153656006,0.974187970161438,0.9493434429168701,0.9614810049533844
luo,0.9464440941810608,0.9662492275238037,0.9743863940238953,0.9365991950035095,0.9559197276830673
nya,0.9453880786895752,0.97210294008255,0.9720088243484497,0.9148127436637878,0.9510781466960907
tsn,0.9618207216262817,0.9491907954216003,0.9624491333961487,0.9260280728340149,0.9498721808195114
ibo,0.963456928730011,0.97410649061203,0.9736453294754028,0.8861574530601501,0.9493415504693985
sna,0.9602453708648682,0.9587352275848389,0.9669018983840942,0.9106093049049377,0.9491229504346848
zul,0.9552892446517944,0.972474992275238,0.9601322412490845,0.896902322769165,0.9461997002363205
ewe,0.9115355610847473,0.9649698734283447,0.9736210703849792,0.9198583364486694,0.9424962103366852
lug,0.9268210530281067,0.8936363458633423,0.9907625317573547,0.9530526995658875,0.9410681575536728
wol,0.9548249244689941,0.9636284112930298,0.9693210124969482,0.8721866607666016,0.9399902522563934
xho,0.9575389623641968,0.9580679535865784,0.9609835743904114,0.873869776725769,0.9376150667667389
pcm,0.8665284514427185,0.9403613209724426,0.9789571762084961,0.9358763098716736,0.9304308146238327
swa,0.8499585390090942,0.9325883388519287,0.9634129405021667,0.9705974459648132,0.9291393160820007
bbj,0.9127839803695679,0.9598110318183899,0.9745016694068909,0.8549317121505737,0.9255070984363556
bam,0.9345529079437256,0.9127936959266663,0.9585166573524475,0.8912432789802551,0.9242766350507736
yor,0.920832633972168,0.9553716778755188,0.9405218362808228,0.8508827686309814,0.9169022291898727
fon,0.8890663981437683,0.9679818749427795,0.9635465145111084,0.8385096788406372,0.9147761166095734
mos,0.8451256155967712,0.9640379548072815,0.9682086110115051,0.8763980865478516,0.9134425669908524
hau,0.8938833475112915,0.9259681701660156,0.9620562791824341,0.815336287021637,0.8993110209703445
